-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2022,20.5,76.5,4.35,5.43,5.85,6.74,6.87,5.53,3.58,4.41,4.58,4.74,4.82,4.08,5.08
ALLSKY_SFC_SW_DWN,2022,20.5,77.5,4.3,5.38,5.9,6.65,6.61,5.4,3.35,4.56,4.46,4.84,4.79,4.04,5.02
ALLSKY_SFC_SW_DWN,2022,20.5,78.5,4.25,5.3,6.0,6.44,6.43,5.17,3.15,4.46,4.4,4.9,4.79,4.13,4.95
ALLSKY_SFC_SW_DWN,2022,20.5,79.5,4.21,5.23,6.07,6.39,6.51,5.11,3.05,4.33,4.32,4.89,4.83,4.14,4.92
ALLSKY_SFC_SW_DWN,2022,20.5,80.5,4.24,5.36,6.06,6.46,6.52,5.1,3.11,4.15,4.24,4.98,4.78,4.19,4.93
ALLSKY_SFC_SW_DWN,2022,20.5,81.5,4.19,5.42,6.11,6.45,6.48,5.23,3.75,4.22,4.3,5.03,4.75,4.19,5.01
ALLSKY_SFC_SW_DWN,2022,20.5,82.5,4.15,5.38,6.04,6.08,6.29,4.99,4.03,4.15,4.51,4.8,4.62,4.14,4.93
ALLSKY_SFC_SW_DWN,2022,20.5,83.5,3.87,5.23,5.89,6.06,6.25,4.89,4.17,4.17,4.56,4.71,4.48,3.96,4.85
ALLSKY_SFC_SW_DWN,2022,21.5,76.5,4.31,5.54,5.95,7.1,6.97,5.73,3.33,4.04,4.27,4.96,4.88,4.08,5.1
ALLSKY_SFC_SW_DWN,2022,21.5,77.5,4.15,5.46,5.96,7.05,6.84,5.47,3.09,3.84,4.05,4.94,4.89,4.06,4.98
ALLSKY_SFC_SW_DWN,2022,21.5,78.5,4.19,5.32,6.12,6.76,6.58,5.28,3.04,4.08,4.16,4.97,4.85,4.15,4.96
ALLSKY_SFC_SW_DWN,2022,21.5,79.5,4.18,5.28,6.15,6.64,6.53,5.14,3.19,4.06,4.09,4.98,4.86,4.14,4.94
ALLSKY_SFC_SW_DWN,2022,21.5,80.5,4.1,5.3,6.15,6.66,6.52,5.13,3.43,4.03,3.94,4.87,4.77,4.11,4.92
ALLSKY_SFC_SW_DWN,2022,21.5,81.5,4.04,5.36,6.16,6.59,6.29,5.11,3.94,4.21,4.24,4.86,4.73,4.1,4.97
ALLSKY_SFC_SW_DWN,2022,21.5,82.5,3.95,5.33,6.15,6.59,6.27,5.04,4.2,4.16,4.38,4.85,4.58,4.1,4.97
ALLSKY_SFC_SW_DWN,2022,21.5,83.5,3.91,5.28,6.08,6.43,6.37,5.11,4.39,4.0,4.32,4.85,4.53,4.07,4.94
ALLSKY_SFC_SW_DWN,2022,22.5,76.5,4.19,5.49,6.07,7.03,6.88,5.77,3.47,3.92,4.27,5.07,4.76,4.0,5.08
ALLSKY_SFC_SW_DWN,2022,22.5,77.5,4.13,5.41,6.07,7.08,6.95,5.86,3.38,3.8,4.22,5.09,4.77,4.0,5.06
ALLSKY_SFC_SW_DWN,2022,22.5,78.5,4.01,5.32,6.08,6.93,6.94,5.71,3.43,3.83,4.07,5.13,4.83,4.09,5.03
ALLSKY_SFC_SW_DWN,2022,22.5,79.5,3.96,5.24,6.14,6.74,6.66,5.26,3.79,3.97,4.2,5.03,4.8,4.09,4.99
ALLSKY_SFC_SW_DWN,2022,22.5,80.5,4.0,5.21,6.13,6.62,6.48,5.19,3.93,3.94,4.12,4.91,4.74,4.14,4.95
ALLSKY_SFC_SW_DWN,2022,22.5,81.5,4.0,5.22,6.09,6.6,6.23,4.95,4.06,3.94,3.98,4.71,4.74,4.13,4.89
ALLSKY_SFC_SW_DWN,2022,22.5,82.5,3.89,5.24,6.12,6.53,6.25,5.12,4.28,3.99,4.12,4.68,4.58,4.06,4.9
