-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLRSKY_SFC_SW_DWN,2022,20.5,76.5,4.74,5.6,6.37,7.03,7.22,7.06,7.17,6.76,6.1,5.75,4.9,4.34,6.09
CLRSKY_SFC_SW_DWN,2022,20.5,77.5,4.73,5.55,6.35,7.02,7.19,7.04,7.13,6.75,6.08,5.74,4.89,4.33,6.07
CLRSKY_SFC_SW_DWN,2022,20.5,78.5,4.65,5.48,6.32,6.86,7.1,6.92,7.14,6.74,6.24,5.75,4.91,4.4,6.04
CLRSKY_SFC_SW_DWN,2022,20.5,79.5,4.63,5.48,6.3,6.83,7.09,6.95,7.13,6.73,6.23,5.74,4.9,4.38,6.03
CLRSKY_SFC_SW_DWN,2022,20.5,80.5,4.75,5.59,6.32,6.8,7.12,6.9,7.21,6.83,6.48,5.81,4.91,4.48,6.1
CLRSKY_SFC_SW_DWN,2022,20.5,81.5,4.76,5.61,6.31,6.8,7.12,6.92,7.22,6.84,6.5,5.83,4.92,4.49,6.11
CLRSKY_SFC_SW_DWN,2022,20.5,82.5,4.73,5.6,6.24,6.71,7.02,6.82,7.23,6.9,6.61,5.77,4.79,4.41,6.07
CLRSKY_SFC_SW_DWN,2022,20.5,83.5,4.51,5.44,6.06,6.57,6.96,6.73,7.26,7.0,6.64,5.77,4.63,4.19,5.98
CLRSKY_SFC_SW_DWN,2022,21.5,76.5,4.61,5.65,6.43,7.29,7.3,7.06,7.1,6.74,5.99,5.77,4.93,4.3,6.1
CLRSKY_SFC_SW_DWN,2022,21.5,77.5,4.63,5.65,6.44,7.33,7.32,7.1,7.14,6.79,6.04,5.81,4.95,4.33,6.13
CLRSKY_SFC_SW_DWN,2022,21.5,78.5,4.65,5.58,6.47,7.21,7.24,7.05,7.16,6.83,6.07,5.76,4.94,4.42,6.12
CLRSKY_SFC_SW_DWN,2022,21.5,79.5,4.64,5.57,6.45,7.17,7.2,7.07,7.12,6.79,6.04,5.74,4.92,4.4,6.09
CLRSKY_SFC_SW_DWN,2022,21.5,80.5,4.62,5.56,6.41,7.05,7.09,6.92,7.13,6.79,6.22,5.72,4.82,4.42,6.06
CLRSKY_SFC_SW_DWN,2022,21.5,81.5,4.6,5.55,6.38,7.01,7.05,6.9,7.1,6.75,6.19,5.71,4.82,4.42,6.04
CLRSKY_SFC_SW_DWN,2022,21.5,82.5,4.56,5.52,6.28,6.89,6.95,6.76,7.11,6.8,6.36,5.68,4.71,4.35,6.0
CLRSKY_SFC_SW_DWN,2022,21.5,83.5,4.5,5.52,6.22,6.78,6.91,6.75,7.2,6.89,6.34,5.7,4.73,4.32,5.99
CLRSKY_SFC_SW_DWN,2022,22.5,76.5,4.5,5.56,6.35,7.31,7.34,7.1,7.12,6.74,5.95,5.71,4.83,4.19,6.06
CLRSKY_SFC_SW_DWN,2022,22.5,77.5,4.52,5.56,6.37,7.31,7.35,7.12,7.12,6.74,5.95,5.71,4.82,4.2,6.06
CLRSKY_SFC_SW_DWN,2022,22.5,78.5,4.56,5.52,6.41,7.21,7.31,7.12,7.21,6.84,6.03,5.71,4.86,4.33,6.09
CLRSKY_SFC_SW_DWN,2022,22.5,79.5,4.57,5.53,6.43,7.21,7.29,7.12,7.21,6.84,6.04,5.71,4.87,4.33,6.1
CLRSKY_SFC_SW_DWN,2022,22.5,80.5,4.54,5.53,6.37,7.11,7.17,6.99,7.2,6.82,6.21,5.68,4.78,4.36,6.06
CLRSKY_SFC_SW_DWN,2022,22.5,81.5,4.55,5.53,6.4,7.11,7.16,7.02,7.2,6.83,6.22,5.71,4.79,4.37,6.07
CLRSKY_SFC_SW_DWN,2022,22.5,82.5,4.48,5.48,6.29,6.96,7.03,6.86,7.19,6.85,6.36,5.65,4.66,4.28,6.01
CLRSKY_SFC_SW_DWN,2022,22.5,83.5,4.38,5.42,6.18,6.84,6.98,6.83,7.21,6.89,6.34,5.59,4.64,4.22,5.96
CLRSKY_SFC_SW_DWN,2022,23.5,76.5,4.47,5.58,6.44,7.37,7.35,7.14,7.03,6.79,6.13,5.67,4.74,4.19,6.07
CLRSKY_SFC_SW_DWN,2022,23.5,77.5,4.46,5.57,6.43,7.36,7.33,7.15,7.05,6.79,6.12,5.68,4.75,4.19,6.08
CLRSKY_SFC_SW_DWN,2022,23.5,78.5,4.45,5.55,6.45,7.32,7.2,7.09,7.15,6.77,6.05,5.59,4.67,4.17,6.04
