-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SRF_ALB     CERES SYN1deg All Sky Surface Albedo (dimensionless) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SRF_ALB,2022,20.5,76.5,0.13,0.12,0.11,0.11,0.1,0.09,0.13,0.14,0.13,0.12,0.11,0.12,0.12
ALLSKY_SRF_ALB,2022,20.5,77.5,0.12,0.12,0.11,0.11,0.1,0.09,0.11,0.15,0.13,0.13,0.11,0.12,0.12
ALLSKY_SRF_ALB,2022,20.5,78.5,0.12,0.12,0.12,0.11,0.1,0.1,0.12,0.13,0.13,0.14,0.12,0.13,0.12
ALLSKY_SRF_ALB,2022,20.5,79.5,0.12,0.12,0.12,0.12,0.12,0.14,0.12,0.13,0.13,0.13,0.11,0.13,0.12
ALLSKY_SRF_ALB,2022,20.5,80.5,0.12,0.13,0.12,0.12,0.13,0.14,0.14,0.14,0.15,0.14,0.12,0.13,0.13
ALLSKY_SRF_ALB,2022,20.5,81.5,0.11,0.12,0.13,0.12,0.13,0.15,0.15,0.14,0.15,0.15,0.13,0.13,0.13
ALLSKY_SRF_ALB,2022,20.5,82.5,0.11,0.12,0.13,0.12,0.13,0.14,0.16,0.16,0.15,0.14,0.13,0.13,0.13
ALLSKY_SRF_ALB,2022,20.5,83.5,0.1,0.11,0.13,0.11,0.12,0.13,0.14,0.15,0.11,0.15,0.12,0.11,0.12
ALLSKY_SRF_ALB,2022,21.5,76.5,0.12,0.13,0.12,0.11,0.11,0.1,0.13,0.15,0.13,0.12,0.12,0.12,0.12
ALLSKY_SRF_ALB,2022,21.5,77.5,0.12,0.12,0.12,0.12,0.11,0.11,0.13,0.15,0.14,0.13,0.12,0.12,0.12
