-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLOUD_AMT     CERES SYN1deg Cloud Amount (%) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLOUD_AMT,2022,20.5,76.5,23.12,17.07,31.86,30.69,42.71,80.07,96.85,86.38,77.25,55.66,17.38,25.56,48.72
CLOUD_AMT,2022,20.5,77.5,22.08,17.96,31.81,41.0,51.89,81.4,96.56,86.29,79.04,55.88,20.39,30.15,51.2
CLOUD_AMT,2022,20.5,78.5,22.02,15.64,23.91,51.54,60.02,87.77,96.38,88.21,81.2,53.51,23.08,28.16,52.62
CLOUD_AMT,2022,20.5,79.5,21.58,15.24,20.21,48.47,60.66,88.87,95.24,89.1,83.46,49.65,14.98,26.04,51.12
CLOUD_AMT,2022,20.5,80.5,25.32,16.8,22.06,42.63,58.29,87.33,96.68,90.34,87.32,50.7,20.53,27.89,52.16
CLOUD_AMT,2022,20.5,81.5,28.64,13.44,17.61,36.81,56.29,85.7,94.88,87.44,87.05,49.68,23.7,26.35,50.63
CLOUD_AMT,2022,20.5,82.5,31.51,15.65,15.61,46.02,59.36,88.28,94.02,87.27,84.59,51.7,24.01,26.01,52.0
CLOUD_AMT,2022,20.5,83.5,33.13,14.96,15.09,47.23,60.83,89.36,92.27,86.63,81.85,50.7,20.01,24.64,51.39
CLOUD_AMT,2022,21.5,76.5,24.48,16.02,28.2,22.77,35.28,79.84,96.66,86.1,79.65,41.32,9.49,20.0,44.98
CLOUD_AMT,2022,21.5,77.5,24.76,14.97,29.79,28.29,38.38,77.59,96.95,87.04,81.62,47.82,8.37,22.56,46.51
CLOUD_AMT,2022,21.5,78.5,22.52,14.57,26.87,42.19,49.6,80.22,96.54,87.64,82.49,44.54,16.26,25.1,49.04
CLOUD_AMT,2022,21.5,79.5,22.76,16.39,25.75,48.62,53.69,88.21,96.36,89.08,85.13,42.96,12.79,25.74,50.62
CLOUD_AMT,2022,21.5,80.5,25.93,18.74,20.61,41.58,53.11,84.55,95.19,88.53,89.03,45.23,11.06,24.11,49.81
CLOUD_AMT,2022,21.5,81.5,26.64,16.53,17.52,43.61,58.7,89.74,92.78,87.89,89.01,47.33,19.09,29.08,51.49
CLOUD_AMT,2022,21.5,82.5,33.25,17.73,11.92,38.85,56.78,89.72,91.59,86.75,86.85,49.45,16.87,25.12,50.41
CLOUD_AMT,2022,21.5,83.5,31.14,15.83,12.64,39.7,58.66,86.63,90.72,88.27,85.09,49.93,18.08,21.58,49.86
CLOUD_AMT,2022,22.5,76.5,25.32,9.67,21.44,24.88,36.91,73.51,95.9,86.8,75.76,33.61,9.38,17.93,42.59
CLOUD_AMT,2022,22.5,77.5,27.35,17.26,22.83,27.97,40.84,77.44,95.74,87.97,77.51,35.73,7.38,19.0,44.75
CLOUD_AMT,2022,22.5,78.5,33.09,14.52,20.81,27.4,34.78,79.06,94.94,89.66,79.09,31.33,6.1,21.08,44.32
CLOUD_AMT,2022,22.5,79.5,34.63,17.68,22.22,33.94,42.06,87.06,93.22,88.06,80.96,39.63,15.24,24.67,48.28
CLOUD_AMT,2022,22.5,80.5,30.46,18.69,21.17,42.05,50.9,85.82,92.47,87.51,85.69,39.78,10.27,23.56,49.03
CLOUD_AMT,2022,22.5,81.5,29.5,18.21,21.88,45.59,55.97,87.28,90.36,87.23,89.66,44.03,10.84,22.81,50.28
CLOUD_AMT,2022,22.5,82.5,32.88,19.69,16.21,46.08,59.23,89.53,88.95,88.61,90.0,47.2,11.14,23.64,51.1
CLOUD_AMT,2022,22.5,83.5,32.86,19.47,13.31,40.17,56.96,87.98,88.66,89.02,89.49,50.53,13.43,19.7,50.13
CLOUD_AMT,2022,23.5,76.5,32.22,13.12,27.06,23.58,35.44,82.79,94.93,90.53,64.02,36.73,17.35,19.96,44.81
CLOUD_AMT,2022,23.5,77.5,33.88,11.24,21.01,25.24,41.07,81.14,92.68,89.42,71.15,31.9,15.55,17.46,44.31
CLOUD_AMT,2022,23.5,78.5,35.0,10.95,25.11,27.05,43.6,89.13,91.34,92.14,74.66,33.34,14.89,18.68,46.32
CLOUD_AMT,2022,23.5,79.5,36.79,12.19,18.22,29.15,46.32,90.15,87.9,90.01,75.67,28.63,7.45,20.21,45.22
CLOUD_AMT,2022,23.5,80.5,36.2,14.19,19.56,35.14,51.49,83.1,83.9,87.82,77.58,36.85,11.3,22.28,46.62
CLOUD_AMT,2022,23.5,81.5,38.4,16.77,19.46,36.13,50.64,85.75,82.75,85.9,81.11,36.61,6.65,21.08,46.77
CLOUD_AMT,2022,23.5,82.5,41.73,20.75,15.58,38.08,62.9,89.69,84.35,88.89,88.03,44.41,7.93,19.02,50.11
CLOUD_AMT,2022,23.5,83.5,44.97,22.25,12.59,33.88,62.0,89.31,84.32,89.05,90.17,47.55,9.6,22.09,50.65
CLOUD_AMT,2022,24.5,76.5,30.87,7.17,20.16,28.98,44.96,82.07,91.64,90.47,54.53,28.56,17.52,13.04,42.5
CLOUD_AMT,2022,24.5,77.5,35.3,9.25,17.34,26.02,42.34,84.0,89.23,90.11,61.79,35.41,19.73,15.2,43.81
CLOUD_AMT,2022,24.5,78.5,40.8,9.67,16.72,26.27,45.46,83.82,85.92,89.84,65.7,30.45,13.03,16.25,43.66
CLOUD_AMT,2022,24.5,79.5,42.76,9.97,18.15,22.97,47.48,84.17,83.86,87.96,68.35,28.94,13.34,17.93,43.82
CLOUD_AMT,2022,24.5,80.5,45.78,12.14,14.39,28.53,49.7,86.36,84.0,87.06,71.54,29.05,7.23,17.56,44.45
CLOUD_AMT,2022,24.5,81.5,48.75,13.82,13.96,38.01,53.49,89.26,84.53,87.97,74.87,36.01,7.27,15.88,46.99
CLOUD_AMT,2022,24.5,82.5,49.9,16.66,10.77,26.79,50.72,87.08,83.48,88.09,79.4,38.88,7.22,17.69,46.39
CLOUD_AMT,2022,24.5,83.5,50.0,16.7,11.35,30.45,59.44,87.51,78.11,82.86,86.66,43.61,5.78,17.95,47.53
CLOUD_AMT,2022,25.5,76.5,33.98,5.68,22.65,47.15,60.36,80.54,87.98,87.51,54.53,24.3,16.83,7.62,44.09
CLOUD_AMT,2022,25.5,77.5,39.62,8.71,19.68,24.47,43.39,81.68,85.41,85.82,57.6,28.03,16.56,13.49,42.04
CLOUD_AMT,2022,25.5,78.5,47.16,7.49,15.43,29.4,54.37,80.03,84.5,85.16,61.89,29.79,15.4,15.39,43.83
CLOUD_AMT,2022,25.5,79.5,51.31,11.38,16.53,27.43,55.36,78.36,86.17,84.9,64.11,31.18,18.8,17.91,45.29
