-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2022,20.0,76.25,18.63,22.76,29.19,33.2,34.06,29.51,25.17,25.01,24.91,22.79,19.33,20.51,25.42
T2M,2022,20.0,76.875,18.54,22.58,29.41,33.75,34.67,29.94,25.33,25.25,25.2,23.08,19.55,20.66,25.66
T2M,2022,20.0,77.5,18.42,22.39,29.73,34.36,35.23,30.6,25.59,25.53,25.51,23.42,19.48,20.51,25.9
T2M,2022,20.0,78.125,18.87,22.7,30.49,35.24,36.17,31.34,26.13,26.08,26.06,23.98,19.82,20.86,26.48
T2M,2022,20.0,78.75,19.15,22.58,30.77,35.64,36.35,31.91,26.43,26.34,26.29,24.18,20.11,21.29,26.75
T2M,2022,20.0,79.375,19.27,22.56,30.83,35.69,36.33,32.54,26.71,26.57,26.51,24.32,20.48,21.8,26.97
T2M,2022,20.0,80.0,18.94,22.36,30.26,34.87,35.57,32.28,26.67,26.51,26.42,24.2,20.39,21.77,26.69
T2M,2022,20.0,80.625,18.03,21.5,29.03,33.26,33.85,31.08,26.03,25.76,25.58,23.33,19.47,20.43,25.61
T2M,2022,20.0,81.25,16.88,20.15,27.61,31.89,32.34,30.05,25.55,24.99,24.79,22.41,18.26,18.48,24.45
T2M,2022,20.0,81.875,16.51,19.8,27.19,31.74,31.95,29.84,25.58,24.83,24.62,22.13,17.98,17.82,24.17
T2M,2022,20.0,82.5,17.12,20.24,27.75,32.96,32.98,30.79,26.6,25.71,25.46,23.0,18.91,18.55,25.01
T2M,2022,20.0,83.125,18.16,21.15,28.58,33.98,33.42,31.36,27.14,26.23,25.92,23.51,19.45,19.24,25.68
T2M,2022,20.0,83.75,17.42,20.53,27.72,33.03,31.93,29.91,26.27,25.43,25.17,22.81,18.98,18.88,24.84
T2M,2022,20.5,76.25,18.52,22.62,29.31,33.4,34.39,30.02,25.42,25.2,25.27,23.15,19.61,20.61,25.63
T2M,2022,20.5,76.875,18.65,22.69,29.86,34.16,35.28,30.58,25.75,25.6,25.68,23.56,20.08,21.01,26.08
T2M,2022,20.5,77.5,18.48,22.43,30.14,34.66,35.72,31.13,25.86,25.72,25.8,23.66,19.73,20.59,26.16
T2M,2022,20.5,78.125,18.55,22.27,30.39,35.23,36.52,31.69,26.26,26.1,26.13,23.92,19.7,20.43,26.43
T2M,2022,20.5,78.75,18.7,22.06,30.53,35.6,36.82,32.46,26.6,26.35,26.29,24.06,19.71,20.28,26.62
T2M,2022,20.5,79.375,18.75,22.03,30.46,35.56,36.71,32.99,26.78,26.51,26.43,24.16,19.8,20.48,26.72
T2M,2022,20.5,80.0,18.29,21.75,29.94,34.95,36.07,32.7,26.69,26.39,26.27,23.97,19.62,20.12,26.4
T2M,2022,20.5,80.625,17.32,20.94,28.76,33.92,34.97,31.97,26.43,25.98,25.79,23.46,18.92,18.93,25.62
T2M,2022,20.5,81.25,16.78,19.88,27.6,32.94,34.0,31.61,26.49,25.79,25.52,23.16,18.65,18.31,25.06
T2M,2022,20.5,81.875,16.76,20.09,27.8,33.13,33.72,31.62,26.58,25.73,25.48,23.06,18.8,18.3,25.09
T2M,2022,20.5,82.5,16.57,19.69,27.52,33.26,33.64,31.48,26.75,25.76,25.54,23.13,19.01,18.45,25.07
T2M,2022,20.5,83.125,17.68,20.81,28.56,34.63,34.69,32.58,27.9,26.9,26.54,24.11,19.82,19.17,26.12
T2M,2022,20.5,83.75,17.78,20.92,28.45,34.23,33.85,31.62,27.39,26.53,26.18,23.8,19.61,19.22,25.8
T2M,2022,21.0,76.25,18.82,22.99,30.18,34.39,35.32,31.03,26.06,25.85,26.13,23.84,20.16,20.8,26.3
T2M,2022,21.0,76.875,18.87,22.91,30.33,34.6,35.7,31.08,26.05,25.83,26.09,23.9,20.41,21.21,26.42
T2M,2022,21.0,77.5,18.57,22.57,30.22,34.72,35.78,31.33,25.94,25.63,25.83,23.59,20.01,20.82,26.25
T2M,2022,21.0,78.125,18.41,22.2,30.25,35.17,36.4,31.8,26.25,25.9,26.03,23.64,19.61,20.31,26.33
T2M,2022,21.0,78.75,18.15,21.36,29.91,35.26,36.68,32.49,26.51,26.02,26.05,23.64,19.45,19.7,26.27
