-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2MDEW,2022,20.0,76.25,10.32,5.23,3.69,4.14,12.53,19.52,22.48,22.36,22.54,19.54,14.19,13.9,14.2
T2MDEW,2022,20.0,76.875,10.84,6.84,3.89,4.34,12.57,19.81,22.94,22.81,22.81,19.9,14.32,14.08,14.6
T2MDEW,2022,20.0,77.5,11.33,8.12,4.37,4.64,12.87,19.93,23.36,23.27,23.14,20.23,14.53,14.32,15.01
T2MDEW,2022,20.0,78.125,11.83,8.65,4.61,5.69,13.49,20.23,23.91,23.79,23.63,20.65,14.96,14.64,15.51
T2MDEW,2022,20.0,78.75,12.12,9.31,5.0,7.3,14.56,20.19,24.3,24.12,23.91,20.85,15.15,14.47,15.94
T2MDEW,2022,20.0,79.375,12.37,9.72,5.95,9.1,15.29,20.26,24.61,24.41,24.17,21.03,15.33,14.14,16.36
T2MDEW,2022,20.0,80.0,12.48,9.78,7.13,11.07,16.01,20.58,24.66,24.44,24.14,20.9,15.52,14.0,16.73
T2MDEW,2022,20.0,80.625,11.99,9.35,7.56,12.12,16.43,20.44,24.08,23.85,23.55,20.26,15.31,13.89,16.57
T2MDEW,2022,20.0,81.25,11.58,9.05,8.1,12.29,16.6,20.09,23.25,23.1,22.89,19.59,14.82,13.93,16.27
T2MDEW,2022,20.0,81.875,11.39,8.52,8.14,11.26,16.42,19.81,22.82,22.8,22.65,19.39,14.58,13.73,15.96
T2MDEW,2022,20.0,82.5,12.18,9.82,9.27,11.31,17.13,20.39,23.48,23.47,23.33,20.1,15.12,13.97,16.63
T2MDEW,2022,20.0,83.125,11.9,9.19,8.48,11.29,17.73,20.55,23.86,23.74,23.66,20.59,15.5,13.85,16.69
T2MDEW,2022,20.0,83.75,11.55,8.75,8.75,12.35,18.1,20.54,23.36,23.14,23.13,20.25,15.26,13.23,16.53
T2MDEW,2022,20.5,76.25,10.13,5.12,3.91,3.99,12.66,19.76,22.95,22.78,22.92,19.75,14.18,13.74,14.32
T2MDEW,2022,20.5,76.875,10.7,6.43,3.75,3.71,12.44,20.06,23.41,23.26,23.25,20.18,14.25,13.81,14.6
T2MDEW,2022,20.5,77.5,10.84,7.17,3.84,3.78,12.4,19.92,23.65,23.54,23.4,20.31,14.33,13.84,14.75
T2MDEW,2022,20.5,78.125,11.25,8.04,4.33,4.41,12.59,19.99,24.01,23.87,23.68,20.56,14.66,14.09,15.12
T2MDEW,2022,20.5,78.75,11.59,8.94,4.88,5.52,13.52,19.74,24.32,24.21,23.95,20.78,14.96,14.33,15.56
T2MDEW,2022,20.5,79.375,11.81,9.37,5.55,7.15,14.3,19.68,24.59,24.43,24.16,20.93,15.2,14.27,15.95
T2MDEW,2022,20.5,80.0,11.97,9.6,6.85,8.86,14.92,19.91,24.59,24.42,24.1,20.76,15.32,14.28,16.3
T2MDEW,2022,20.5,80.625,12.05,9.51,8.36,10.01,15.26,19.92,24.22,24.06,23.73,20.31,15.14,14.27,16.4
T2MDEW,2022,20.5,81.25,12.03,10.2,9.9,11.39,15.87,19.96,23.82,23.68,23.43,20.01,14.84,14.07,16.6
T2MDEW,2022,20.5,81.875,11.75,9.43,9.02,10.52,16.04,19.83,23.57,23.52,23.3,19.93,14.67,13.65,16.27
T2MDEW,2022,20.5,82.5,11.9,9.91,9.52,10.17,16.26,20.0,23.64,23.57,23.42,20.06,14.69,13.27,16.37
T2MDEW,2022,20.5,83.125,12.29,9.83,9.28,10.28,17.26,20.55,24.39,24.2,24.12,20.86,15.34,13.55,16.83
T2MDEW,2022,20.5,83.75,11.88,9.26,8.67,11.08,17.9,20.75,24.14,23.92,23.85,20.8,15.28,13.19,16.73
T2MDEW,2022,21.0,76.25,10.16,5.15,4.09,4.03,13.06,20.31,23.78,23.52,23.65,20.27,14.57,13.97,14.71
T2MDEW,2022,21.0,76.875,10.31,5.56,3.65,3.35,12.51,20.22,23.89,23.67,23.68,20.35,14.21,13.55,14.58
T2MDEW,2022,21.0,77.5,9.91,5.2,3.43,3.11,11.95,19.58,23.77,23.61,23.5,20.1,13.78,13.02,14.25
T2MDEW,2022,21.0,78.125,10.18,6.31,3.78,3.57,11.74,19.49,23.98,23.82,23.61,20.21,14.11,13.25,14.5
T2MDEW,2022,21.0,78.75,10.64,8.05,4.75,4.31,12.33,19.07,24.14,24.05,23.73,20.36,14.27,13.53,14.94
T2MDEW,2022,21.0,79.375,10.93,8.55,4.94,5.63,13.32,19.16,24.55,24.34,24.04,20.63,14.49,13.26,15.32
T2MDEW,2022,21.0,80.0,11.07,8.58,5.73,7.02,14.02,19.31,24.62,24.36,24.02,20.56,14.59,12.98,15.57
T2MDEW,2022,21.0,80.625,11.27,8.77,7.12,7.93,14.51,19.38,24.3,24.06,23.74,20.16,14.49,12.92,15.72
T2MDEW,2022,21.0,81.25,11.74,10.26,9.74,9.94,15.43,19.79,24.25,24.07,23.82,20.2,14.59,13.34,16.43
T2MDEW,2022,21.0,81.875,11.78,10.31,9.92,10.02,15.9,19.88,24.22,24.05,23.83,20.26,14.53,13.26,16.5
T2MDEW,2022,21.0,82.5,11.71,10.05,9.95,9.85,15.94,19.79,24.06,23.92,23.76,20.3,14.51,12.94,16.4
T2MDEW,2022,21.0,83.125,11.96,9.72,9.84,9.41,16.77,20.27,24.47,24.19,24.1,20.73,14.9,12.85,16.6
T2MDEW,2022,21.0,83.75,12.14,9.83,9.05,10.16,17.98,21.09,24.9,24.62,24.49,21.35,15.42,12.88,16.99
T2MDEW,2022,21.5,76.25,9.63,5.22,3.83,3.46,12.74,20.13,23.85,23.51,23.61,19.83,14.15,13.44,14.45
T2MDEW,2022,21.5,76.875,9.24,4.37,3.33,2.74,12.04,19.73,23.7,23.38,23.38,19.67,13.52,12.65,13.98
T2MDEW,2022,21.5,77.5,8.37,3.29,2.99,2.31,11.2,18.7,23.17,22.91,22.77,19.03,12.44,11.55,13.23
T2MDEW,2022,21.5,78.125,8.8,4.38,3.24,2.82,10.93,18.69,23.53,23.26,23.03,19.29,12.94,11.95,13.57
T2MDEW,2022,21.5,78.75,9.14,5.97,3.59,3.45,11.27,18.39,23.85,23.59,23.26,19.55,13.18,12.08,13.94
T2MDEW,2022,21.5,79.375,9.73,7.16,4.28,4.59,12.23,18.52,24.39,24.04,23.69,20.01,13.55,12.04,14.52
T2MDEW,2022,21.5,80.0,9.95,7.06,4.09,5.15,12.83,18.52,24.6,24.21,23.83,20.17,13.63,11.45,14.62
T2MDEW,2022,21.5,80.625,9.9,7.55,4.95,5.78,13.5,18.59,24.15,23.79,23.44,19.7,13.41,11.02,14.65
T2MDEW,2022,21.5,81.25,10.59,8.82,7.2,6.7,14.7,19.3,24.32,24.04,23.78,20.01,13.93,11.69,15.42
T2MDEW,2022,21.5,81.875,11.07,9.53,8.94,7.57,15.72,19.64,24.51,24.25,24.02,20.31,14.11,12.21,15.99
T2MDEW,2022,21.5,82.5,11.32,9.88,10.51,9.09,15.88,19.65,24.4,24.15,23.98,20.43,14.24,12.38,16.33
T2MDEW,2022,21.5,83.125,11.56,9.71,10.27,8.81,16.49,20.03,24.61,24.28,24.13,20.68,14.55,12.29,16.45
T2MDEW,2022,21.5,83.75,11.67,9.66,9.7,9.63,17.72,20.95,24.89,24.59,24.36,21.15,14.93,12.24,16.79
T2MDEW,2022,22.0,76.25,9.2,4.85,3.59,3.11,12.48,20.07,24.24,23.88,23.93,19.7,14.15,13.02,14.35
T2MDEW,2022,22.0,76.875,8.84,3.62,3.4,2.64,11.91,19.76,24.26,23.86,23.85,19.71,13.55,12.42,13.99
T2MDEW,2022,22.0,77.5,7.68,2.43,3.07,1.99,10.99,18.7,23.62,23.22,23.07,18.97,12.12,10.92,13.06
T2MDEW,2022,22.0,78.125,7.68,3.06,3.18,2.64,10.71,18.26,23.31,22.86,22.62,18.55,11.88,10.81,12.96
T2MDEW,2022,22.0,78.75,7.63,4.06,2.78,2.39,10.27,17.61,23.28,22.81,22.49,18.37,11.73,10.54,12.83
T2MDEW,2022,22.0,79.375,8.22,5.75,3.28,2.87,10.65,17.47,23.69,23.23,22.86,18.87,12.32,10.77,13.33
T2MDEW,2022,22.0,80.0,8.8,6.31,3.4,3.54,11.53,17.7,24.15,23.66,23.28,19.46,12.88,10.69,13.78
T2MDEW,2022,22.0,80.625,8.59,6.24,3.76,3.78,12.39,17.65,23.72,23.28,22.93,19.07,12.58,9.94,13.66
T2MDEW,2022,22.0,81.25,9.23,6.85,5.78,4.18,13.78,18.2,24.13,23.7,23.47,19.62,13.29,10.31,14.38
T2MDEW,2022,22.0,81.875,10.03,7.92,7.34,4.82,14.92,18.75,24.65,24.24,24.02,20.26,13.83,11.12,15.16
T2MDEW,2022,22.0,82.5,10.8,9.33,9.61,7.6,15.54,19.13,24.7,24.33,24.13,20.5,14.06,11.94,15.97
T2MDEW,2022,22.0,83.125,10.94,8.98,9.49,7.61,15.87,19.45,24.68,24.32,24.12,20.57,14.22,11.84,16.01
T2MDEW,2022,22.0,83.75,10.76,8.68,9.54,8.67,16.95,20.36,24.63,24.35,24.08,20.69,14.26,11.6,16.21
T2MDEW,2022,22.5,76.25,8.42,4.34,2.99,2.6,11.9,19.57,24.14,23.78,23.71,18.97,13.62,12.01,13.84
T2MDEW,2022,22.5,76.875,8.32,3.36,3.07,2.46,11.52,19.47,24.56,24.09,24.01,19.36,13.62,11.99,13.82
T2MDEW,2022,22.5,77.5,7.57,2.54,3.01,1.79,10.7,18.84,24.43,23.9,23.74,19.27,12.69,10.97,13.29
T2MDEW,2022,22.5,78.125,7.81,3.55,3.84,3.57,11.26,18.78,24.22,23.69,23.43,19.11,12.58,11.08,13.58
T2MDEW,2022,22.5,78.75,6.97,2.62,2.36,1.78,9.82,17.51,23.41,22.82,22.47,18.06,11.24,9.82,12.41
T2MDEW,2022,22.5,79.375,7.41,4.46,2.63,1.92,9.92,17.24,23.53,23.0,22.63,18.37,11.89,10.22,12.77
T2MDEW,2022,22.5,80.0,8.0,5.76,3.1,2.44,10.64,17.5,24.0,23.47,23.11,19.01,12.46,10.46,13.33
T2MDEW,2022,22.5,80.625,7.75,5.48,3.39,2.4,11.47,17.26,23.55,23.09,22.68,18.65,11.98,9.41,13.09
T2MDEW,2022,22.5,81.25,7.7,5.51,4.97,2.37,12.58,17.18,23.31,22.88,22.51,18.47,11.94,9.09,13.21
T2MDEW,2022,22.5,81.875,8.19,6.01,6.01,2.46,13.62,17.68,24.03,23.6,23.27,19.38,12.81,9.51,13.88
T2MDEW,2022,22.5,82.5,9.43,7.42,7.84,4.37,14.54,18.37,24.36,23.97,23.67,19.93,13.36,10.81,14.84
T2MDEW,2022,22.5,83.125,9.31,6.99,7.82,4.21,14.49,18.22,23.97,23.62,23.37,19.69,13.18,10.66,14.63
T2MDEW,2022,22.5,83.75,9.24,7.12,7.56,4.62,14.9,18.6,23.7,23.48,23.23,19.61,12.94,10.28,14.61
T2MDEW,2022,23.0,76.25,7.32,3.67,2.4,1.99,11.04,18.54,23.57,23.21,22.99,17.73,12.29,10.48,12.94
T2MDEW,2022,23.0,76.875,7.46,3.16,2.24,1.59,10.45,18.32,24.07,23.53,23.32,18.16,12.8,10.79,12.99
T2MDEW,2022,23.0,77.5,7.69,2.97,2.61,1.57,10.19,18.25,24.38,23.75,23.51,18.54,12.85,10.9,13.1
T2MDEW,2022,23.0,78.125,7.56,2.88,2.62,1.76,10.04,18.22,24.72,24.09,23.79,19.03,12.85,10.93,13.21
T2MDEW,2022,23.0,78.75,7.74,3.39,2.67,1.53,9.79,17.97,24.62,24.05,23.71,19.02,12.69,10.7,13.16
T2MDEW,2022,23.0,79.375,7.64,4.14,2.62,1.47,9.79,17.72,24.37,23.81,23.51,18.89,12.53,10.54,13.09
T2MDEW,2022,23.0,80.0,7.42,4.7,2.68,1.47,10.17,17.55,24.13,23.57,23.26,18.79,12.37,10.32,13.04
T2MDEW,2022,23.0,80.625,7.12,5.02,3.42,1.3,10.77,17.04,23.49,23.04,22.65,18.37,11.85,9.73,12.82
T2MDEW,2022,23.0,81.25,6.95,5.06,4.41,0.97,11.73,16.76,23.01,22.64,22.21,17.97,11.38,8.91,12.67
T2MDEW,2022,23.0,81.875,7.08,4.98,5.05,0.88,12.43,17.11,23.44,23.08,22.68,18.55,11.95,9.14,13.03
T2MDEW,2022,23.0,82.5,7.65,5.5,5.5,1.07,13.32,17.67,23.99,23.62,23.27,19.26,12.48,9.12,13.54
T2MDEW,2022,23.0,83.125,7.48,5.22,6.19,1.66,13.12,17.1,23.13,22.89,22.61,18.76,11.95,9.19,13.27
T2MDEW,2022,23.0,83.75,7.84,5.89,6.88,2.84,13.28,16.95,22.52,22.49,22.23,18.44,11.51,8.84,13.31
T2MDEW,2022,23.5,76.25,6.85,2.35,2.29,1.86,10.8,18.12,23.75,23.39,23.12,17.5,11.82,9.77,12.63
T2MDEW,2022,23.5,76.875,7.01,3.02,2.31,1.43,10.22,17.75,24.04,23.55,23.24,17.81,12.37,10.21,12.75
T2MDEW,2022,23.5,77.5,7.32,4.74,3.44,2.15,10.49,17.88,24.2,23.61,23.24,17.95,12.58,10.47,13.17
T2MDEW,2022,23.5,78.125,7.11,3.49,2.48,1.13,9.66,17.41,24.27,23.7,23.32,18.1,12.54,10.2,12.78
T2MDEW,2022,23.5,78.75,7.25,4.65,2.67,0.94,9.59,17.31,24.18,23.61,23.28,18.25,12.45,10.22,12.87
