-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2022,20.0,76.25,4.89,0.03,4.21,0.6,4.47,198.79,392.36,140.19,194.78,123.43,0.0,9.27,1073.02
PRECTOTCORR_SUM,2022,20.0,76.875,11.28,0.18,1.47,0.79,9.31,204.76,522.13,151.64,197.49,102.63,0.0,5.02,1206.7
PRECTOTCORR_SUM,2022,20.0,77.5,28.91,0.5,0.25,1.14,15.44,170.81,685.51,204.75,196.59,80.5,0.0,3.7,1388.1
PRECTOTCORR_SUM,2022,20.0,78.125,31.62,0.38,0.38,1.12,14.54,187.57,649.12,193.32,190.74,78.08,0.0,3.6,1350.47
PRECTOTCORR_SUM,2022,20.0,78.75,111.04,1.05,0.11,1.21,16.27,155.2,753.12,276.86,201.04,66.35,0.0,3.55,1585.8
PRECTOTCORR_SUM,2022,20.0,79.375,195.79,1.63,0.05,0.73,13.77,142.88,760.23,402.43,220.51,66.54,0.0,2.26,1806.82
PRECTOTCORR_SUM,2022,20.0,80.0,165.25,1.5,0.03,3.12,17.08,149.72,715.49,515.67,235.43,77.31,0.0,0.64,1881.24
PRECTOTCORR_SUM,2022,20.0,80.625,85.29,1.75,0.0,15.3,32.76,142.72,617.03,561.91,242.43,88.24,0.03,0.13,1787.59
PRECTOTCORR_SUM,2022,20.0,81.25,46.83,1.85,0.0,29.32,54.71,121.16,494.43,580.53,238.24,89.89,0.18,0.06,1657.2
PRECTOTCORR_SUM,2022,20.0,81.875,46.47,1.07,0.0,25.56,62.76,105.01,396.05,546.27,213.96,83.86,0.48,0.08,1481.57
PRECTOTCORR_SUM,2022,20.0,82.5,45.31,1.41,0.0,24.07,64.48,103.52,404.5,570.8,217.19,90.19,0.74,0.13,1522.34
PRECTOTCORR_SUM,2022,20.0,83.125,50.72,0.98,0.0,8.44,59.52,92.19,314.4,488.77,189.36,93.44,0.81,0.4,1299.03
PRECTOTCORR_SUM,2022,20.0,83.75,48.36,3.89,0.0,2.65,64.37,84.89,293.07,417.55,217.44,122.89,0.41,0.93,1256.45
PRECTOTCORR_SUM,2022,20.5,76.25,4.85,0.1,5.47,0.17,1.78,217.23,418.52,161.35,188.09,117.14,0.0,7.94,1122.64
PRECTOTCORR_SUM,2022,20.5,76.875,12.01,0.51,2.18,0.29,5.83,227.56,484.37,173.27,196.51,99.65,0.0,5.28,1207.46
PRECTOTCORR_SUM,2022,20.5,77.5,23.39,1.36,0.57,0.47,10.86,170.9,614.65,226.36,209.61,85.41,0.0,4.28,1347.86
PRECTOTCORR_SUM,2022,20.5,78.125,28.48,1.02,0.67,0.54,10.49,192.8,584.69,214.7,202.06,84.09,0.0,4.25,1323.79
PRECTOTCORR_SUM,2022,20.5,78.75,85.06,2.74,0.36,0.53,11.59,139.94,709.34,320.33,224.66,81.25,0.0,4.44,1580.24
PRECTOTCORR_SUM,2022,20.5,79.375,137.0,3.98,0.26,0.38,10.47,130.35,711.94,466.88,240.79,85.33,0.0,3.03,1790.41
PRECTOTCORR_SUM,2022,20.5,80.0,110.11,3.23,0.11,1.9,12.28,139.14,635.09,555.34,235.67,91.9,0.0,0.81,1785.58
PRECTOTCORR_SUM,2022,20.5,80.625,58.09,3.24,0.01,8.45,21.47,132.3,541.43,561.81,218.72,97.77,0.0,0.1,1643.39
PRECTOTCORR_SUM,2022,20.5,81.25,37.28,3.69,0.04,16.01,39.95,112.74,455.59,585.96,205.89,94.24,0.02,0.01,1551.42
PRECTOTCORR_SUM,2022,20.5,81.875,39.44,3.01,0.01,14.19,48.66,98.98,385.87,550.36,193.44,82.42,0.08,0.01,1416.47
PRECTOTCORR_SUM,2022,20.5,82.5,39.2,3.28,0.06,13.4,49.0,98.08,388.44,579.4,190.06,85.99,0.13,0.01,1447.05
PRECTOTCORR_SUM,2022,20.5,83.125,42.71,2.8,0.0,6.15,47.31,90.81,330.26,480.74,179.49,79.89,0.12,0.04,1260.32
PRECTOTCORR_SUM,2022,20.5,83.75,41.48,5.59,0.0,3.57,57.37,91.81,326.45,428.9,199.83,93.66,0.05,0.21,1248.92
PRECTOTCORR_SUM,2022,21.0,76.25,5.46,0.27,5.5,0.02,1.02,238.91,510.88,188.78,213.11,122.86,0.0,7.65,1294.46
PRECTOTCORR_SUM,2022,21.0,76.875,13.54,1.26,2.53,0.05,4.26,239.3,516.44,209.83,218.69,106.45,0.0,7.41,1319.76
PRECTOTCORR_SUM,2022,21.0,77.5,21.04,3.01,1.05,0.09,7.71,169.37,548.71,260.07,227.51,86.99,0.0,6.84,1332.39
PRECTOTCORR_SUM,2022,21.0,78.125,23.4,2.36,1.09,0.11,7.7,188.85,560.64,251.31,227.59,93.46,0.0,6.96,1363.47
PRECTOTCORR_SUM,2022,21.0,78.75,47.54,5.41,0.97,0.1,8.52,135.37,638.64,357.39,252.35,88.98,0.0,6.58,1541.85
PRECTOTCORR_SUM,2022,21.0,79.375,65.5,7.09,0.87,0.25,8.53,128.44,639.34,483.96,272.96,94.22,0.0,4.06,1705.22
PRECTOTCORR_SUM,2022,21.0,80.0,54.37,5.54,0.36,1.63,9.42,129.77,569.38,532.43,262.93,99.38,0.0,1.21,1666.42
PRECTOTCORR_SUM,2022,21.0,80.625,35.19,5.38,0.11,6.03,16.16,123.71,482.04,524.03,220.66,103.96,0.0,0.14,1517.41
PRECTOTCORR_SUM,2022,21.0,81.25,29.27,7.12,0.18,10.66,34.37,108.44,423.01,571.79,192.45,96.25,0.0,0.0,1473.54
PRECTOTCORR_SUM,2022,21.0,81.875,32.51,7.67,0.08,9.61,44.51,96.01,383.18,558.66,188.79,82.31,0.0,0.0,1403.33
PRECTOTCORR_SUM,2022,21.0,82.5,32.38,7.68,0.21,10.05,45.45,96.77,388.82,586.79,188.7,84.54,0.01,0.0,1441.4
PRECTOTCORR_SUM,2022,21.0,83.125,34.02,7.79,0.03,6.11,45.28,89.82,346.84,478.57,185.23,75.4,0.01,0.0,1269.1
PRECTOTCORR_SUM,2022,21.0,83.75,35.43,10.56,0.03,4.12,54.0,96.76,349.48,448.17,191.42,79.26,0.0,0.03,1269.26
PRECTOTCORR_SUM,2022,21.5,76.25,6.94,0.53,4.61,0.0,0.99,263.1,643.16,241.8,260.17,135.35,0.0,8.89,1565.54
PRECTOTCORR_SUM,2022,21.5,76.875,14.75,2.15,2.61,0.01,3.43,245.2,628.62,281.62,267.59,119.65,0.0,10.7,1576.33
PRECTOTCORR_SUM,2022,21.5,77.5,22.74,4.67,1.79,0.07,5.27,175.58,557.49,340.53,259.68,87.46,0.0,10.7,1465.98
PRECTOTCORR_SUM,2022,21.5,78.125,21.17,3.92,1.63,0.04,5.46,187.85,597.81,324.2,266.82,100.52,0.0,11.01,1520.43
PRECTOTCORR_SUM,2022,21.5,78.75,30.87,7.53,2.06,0.08,5.73,150.85,589.94,406.17,274.46,84.17,0.0,9.2,1561.06
PRECTOTCORR_SUM,2022,21.5,79.375,37.16,9.18,2.01,0.23,6.24,143.05,575.79,468.55,290.04,85.18,0.0,5.12,1622.55
PRECTOTCORR_SUM,2022,21.5,80.0,34.97,8.37,0.84,1.21,7.39,134.05,530.71,493.84,294.47,95.49,0.0,1.67,1603.01
PRECTOTCORR_SUM,2022,21.5,80.625,29.12,9.74,0.3,4.56,14.51,130.48,445.5,491.77,248.12,105.94,0.0,0.24,1480.28
PRECTOTCORR_SUM,2022,21.5,81.25,27.12,14.98,0.37,8.39,33.02,124.96,389.46,531.65,204.08,100.19,0.0,0.01,1434.23
PRECTOTCORR_SUM,2022,21.5,81.875,29.38,17.81,0.25,7.85,43.32,114.05,366.37,543.24,198.61,87.04,0.0,0.0,1407.92
PRECTOTCORR_SUM,2022,21.5,82.5,29.09,17.98,0.33,8.53,44.4,119.05,371.99,553.38,200.84,89.31,0.0,0.0,1434.9
PRECTOTCORR_SUM,2022,21.5,83.125,30.63,17.97,0.14,5.57,43.9,104.9,343.2,482.4,195.45,79.64,0.0,0.0,1303.8
PRECTOTCORR_SUM,2022,21.5,83.75,33.79,18.91,0.1,4.2,47.17,100.8,350.33,470.94,188.09,77.11,0.0,0.0,1291.44
PRECTOTCORR_SUM,2022,22.0,76.25,10.88,0.59,3.46,0.0,0.94,248.52,686.69,323.19,283.61,132.73,0.0,8.99,1699.6
PRECTOTCORR_SUM,2022,22.0,76.875,15.8,2.3,2.27,0.03,2.8,227.89,710.84,393.12,301.04,122.78,0.0,11.05,1789.92
PRECTOTCORR_SUM,2022,22.0,77.5,21.66,4.64,2.26,0.21,3.74,186.32,645.13,496.64,306.28,91.54,0.0,11.24,1769.66
PRECTOTCORR_SUM,2022,22.0,78.125,20.59,4.18,1.84,0.09,3.82,180.26,651.8,448.6,296.98,100.61,0.0,11.65,1720.42
PRECTOTCORR_SUM,2022,22.0,78.75,27.7,7.3,2.93,0.2,3.84,175.01,610.02,508.71,298.87,78.95,0.0,9.23,1722.76
PRECTOTCORR_SUM,2022,22.0,79.375,34.42,9.93,2.84,0.19,5.06,167.17,546.41,477.24,293.93,73.46,0.0,5.2,1615.85
PRECTOTCORR_SUM,2022,22.0,80.0,34.43,12.8,1.21,0.55,7.49,159.64,505.22,484.29,306.05,87.04,0.0,1.84,1600.56
PRECTOTCORR_SUM,2022,22.0,80.625,30.95,18.43,0.4,2.38,15.16,162.36,425.95,482.64,273.74,104.34,0.0,0.37,1516.72
PRECTOTCORR_SUM,2022,22.0,81.25,29.01,28.46,0.41,5.0,32.59,171.63,360.52,478.11,231.83,106.8,0.0,0.08,1444.44
PRECTOTCORR_SUM,2022,22.0,81.875,29.89,33.03,0.38,5.15,41.58,161.7,337.46,497.04,228.31,99.15,0.0,0.02,1433.71
PRECTOTCORR_SUM,2022,22.0,82.5,29.72,34.08,0.36,5.37,42.84,174.76,345.13,488.22,225.31,100.9,0.0,0.03,1446.72
PRECTOTCORR_SUM,2022,22.0,83.125,31.11,31.56,0.3,3.8,40.5,139.69,321.52,470.96,221.36,92.06,0.0,0.0,1352.86
PRECTOTCORR_SUM,2022,22.0,83.75,34.06,28.12,0.19,3.73,39.59,102.78,319.68,460.57,200.83,83.27,0.0,0.0,1272.82
PRECTOTCORR_SUM,2022,22.5,76.25,18.29,0.36,2.43,0.0,1.02,185.94,611.92,412.35,260.8,112.76,0.0,6.97,1612.84
PRECTOTCORR_SUM,2022,22.5,76.875,19.46,1.47,1.47,0.04,2.75,181.0,697.85,513.21,283.84,116.06,0.0,7.9,1825.05
PRECTOTCORR_SUM,2022,22.5,77.5,21.81,2.78,1.79,0.26,3.9,179.0,681.58,632.4,311.12,102.75,0.0,7.58,1944.97
PRECTOTCORR_SUM,2022,22.5,78.125,21.37,2.73,1.36,0.14,3.53,162.46,674.39,585.18,291.93,103.9,0.0,7.85,1854.84
PRECTOTCORR_SUM,2022,22.5,78.75,27.05,5.12,2.47,0.26,3.78,178.18,610.89,604.97,303.06,89.65,0.0,6.15,1831.58
PRECTOTCORR_SUM,2022,22.5,79.375,33.08,9.84,2.25,0.13,5.19,174.89,494.24,501.39,289.66,80.52,0.0,3.75,1594.94
PRECTOTCORR_SUM,2022,22.5,80.0,33.21,17.26,0.96,0.13,8.63,184.28,462.96,486.3,287.43,86.17,0.0,1.52,1568.85
PRECTOTCORR_SUM,2022,22.5,80.625,31.64,26.93,0.66,0.76,17.09,195.65,412.21,477.45,264.87,102.21,0.0,0.7,1530.17
PRECTOTCORR_SUM,2022,22.5,81.25,30.93,40.81,0.58,1.87,34.25,218.5,341.98,438.71,245.14,112.05,0.0,0.36,1465.18
PRECTOTCORR_SUM,2022,22.5,81.875,31.07,45.64,0.39,2.22,40.06,207.9,300.81,445.39,255.89,110.72,0.0,0.09,1440.18
PRECTOTCORR_SUM,2022,22.5,82.5,31.2,47.76,0.37,2.18,43.26,228.17,318.72,434.96,245.5,111.59,0.0,0.19,1463.9
PRECTOTCORR_SUM,2022,22.5,83.125,31.63,42.0,0.36,1.85,37.16,170.32,279.35,442.74,252.63,105.14,0.0,0.03,1363.21
PRECTOTCORR_SUM,2022,22.5,83.75,32.96,34.4,0.22,2.47,34.04,108.86,263.07,434.25,230.5,92.85,0.0,0.0,1233.62
PRECTOTCORR_SUM,2022,23.0,76.25,25.61,0.12,1.55,0.0,1.2,121.43,510.29,449.85,205.0,91.29,0.0,4.84,1411.18
PRECTOTCORR_SUM,2022,23.0,76.875,27.64,0.52,0.68,0.01,2.82,129.6,645.64,582.99,233.98,110.93,0.0,5.81,1740.62
PRECTOTCORR_SUM,2022,23.0,77.5,31.35,1.02,0.86,0.14,5.61,157.16,611.12,655.64,261.76,120.9,0.0,6.31,1851.87
PRECTOTCORR_SUM,2022,23.0,78.125,28.94,1.07,0.69,0.09,4.05,137.95,652.53,652.16,251.42,115.26,0.0,5.72,1849.88
PRECTOTCORR_SUM,2022,23.0,78.75,34.16,2.77,1.21,0.16,6.23,163.88,526.0,609.45,269.35,113.48,0.0,5.64,1732.33
PRECTOTCORR_SUM,2022,23.0,79.375,34.47,7.82,0.95,0.07,7.95,173.47,400.09,500.57,272.14,101.36,0.0,3.67,1502.56
PRECTOTCORR_SUM,2022,23.0,80.0,30.91,16.0,0.39,0.01,9.97,187.87,386.89,484.93,255.42,94.58,0.0,1.64,1468.61
PRECTOTCORR_SUM,2022,23.0,80.625,30.62,25.61,0.65,0.13,17.4,187.06,366.25,471.39,226.66,101.17,0.0,1.4,1428.34
PRECTOTCORR_SUM,2022,23.0,81.25,31.01,39.89,0.74,0.41,34.73,211.82,310.07,420.87,225.56,109.95,0.0,0.9,1385.95
PRECTOTCORR_SUM,2022,23.0,81.875,30.56,46.32,0.28,0.68,39.87,208.86,258.35,409.88,254.77,110.74,0.0,0.25,1360.56
PRECTOTCORR_SUM,2022,23.0,82.5,31.01,46.81,0.45,0.56,43.13,224.83,282.02,407.48,238.3,111.6,0.0,0.49,1386.68
PRECTOTCORR_SUM,2022,23.0,83.125,30.25,42.63,0.24,0.77,35.32,171.07,228.44,412.8,263.56,107.41,0.0,0.08,1292.57
PRECTOTCORR_SUM,2022,23.0,83.75,29.71,34.79,0.36,1.22,30.03,114.82,205.81,406.1,250.41,95.4,0.0,0.01,1168.66
PRECTOTCORR_SUM,2022,23.5,76.25,26.49,0.01,1.07,0.0,1.5,77.63,385.19,382.53,141.14,69.65,0.0,3.22,1088.43
PRECTOTCORR_SUM,2022,23.5,76.875,33.57,0.07,0.45,0.0,3.21,91.59,542.43,536.97,189.4,96.13,0.0,5.44,1499.26
