-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2022,20.5,85.5,3.83,4.92,5.8,5.93,5.89,4.68,4.19,4.08,4.66,4.54,4.4,3.84,4.73
ALLSKY_SFC_SW_DWN,2022,20.5,86.5,4.01,4.92,5.8,5.92,5.75,4.71,4.49,4.21,4.66,4.63,4.41,3.87,4.78
ALLSKY_SFC_SW_DWN,2022,20.5,87.5,4.0,5.18,5.87,6.0,5.94,4.96,4.98,4.42,5.02,4.88,4.47,3.83,4.96
ALLSKY_SFC_SW_DWN,2022,20.5,88.5,4.03,5.25,5.78,6.02,5.93,4.84,5.07,4.33,4.99,4.92,4.57,3.96,4.97
ALLSKY_SFC_SW_DWN,2022,20.5,89.5,4.12,5.38,5.96,6.17,5.72,4.72,5.2,4.37,4.8,4.99,4.79,4.13,5.03
ALLSKY_SFC_SW_DWN,2022,20.5,90.5,4.13,5.51,6.03,6.22,5.41,4.38,5.09,4.36,4.45,4.99,4.8,4.1,4.95
ALLSKY_SFC_SW_DWN,2022,20.5,91.5,4.41,5.63,5.91,6.26,5.11,4.21,4.89,4.52,4.43,5.02,4.99,4.33,4.98
ALLSKY_SFC_SW_DWN,2022,20.5,92.5,4.75,5.76,5.94,6.26,4.92,4.15,5.11,4.6,4.86,5.2,5.12,4.56,5.1
ALLSKY_SFC_SW_DWN,2022,20.5,93.5,4.9,5.89,5.86,6.13,4.83,4.25,5.14,4.47,4.67,5.04,5.0,4.66,5.07
ALLSKY_SFC_SW_DWN,2022,20.5,94.5,4.85,5.85,5.83,6.24,5.42,5.22,5.47,4.8,5.06,4.92,4.95,4.56,5.26
ALLSKY_SFC_SW_DWN,2022,21.5,85.5,3.56,4.84,5.73,6.01,5.93,5.03,4.07,3.8,4.38,4.46,4.29,3.71,4.65
ALLSKY_SFC_SW_DWN,2022,21.5,86.5,3.65,4.76,5.75,5.82,5.63,5.04,4.2,3.95,4.5,4.37,4.27,3.69,4.64
ALLSKY_SFC_SW_DWN,2022,21.5,87.5,3.59,4.67,5.67,5.74,5.78,5.0,5.1,4.42,4.68,4.72,4.36,3.61,4.78
ALLSKY_SFC_SW_DWN,2022,21.5,88.5,3.54,4.71,5.57,5.55,5.61,4.65,5.08,4.37,4.65,4.55,4.21,3.53,4.67
ALLSKY_SFC_SW_DWN,2022,21.5,89.5,3.61,4.92,5.63,5.49,5.35,4.44,5.11,4.59,4.32,4.59,4.49,3.7,4.69
ALLSKY_SFC_SW_DWN,2022,21.5,90.5,3.67,4.92,5.61,5.57,5.07,4.02,5.06,4.68,4.15,4.68,4.51,3.71,4.64
ALLSKY_SFC_SW_DWN,2022,21.5,91.5,4.14,5.35,5.92,6.03,4.94,4.15,5.39,4.97,4.44,4.97,4.87,4.24,4.95
ALLSKY_SFC_SW_DWN,2022,21.5,92.5,4.37,5.58,5.84,5.99,4.85,4.23,5.57,4.74,4.52,4.94,4.85,4.22,4.98
ALLSKY_SFC_SW_DWN,2022,21.5,93.5,4.61,5.81,5.72,5.99,4.68,4.28,4.84,4.47,4.34,4.63,4.84,4.43,4.89
ALLSKY_SFC_SW_DWN,2022,21.5,94.5,4.5,5.73,5.62,6.1,5.41,5.35,5.56,4.77,4.81,4.81,4.74,4.22,5.14
ALLSKY_SFC_SW_DWN,2022,22.5,85.5,3.32,4.75,5.69,6.11,6.11,5.03,4.21,3.93,4.31,4.5,4.2,3.63,4.65
ALLSKY_SFC_SW_DWN,2022,22.5,86.5,3.4,4.69,5.73,6.09,6.07,5.19,4.53,4.17,4.45,4.48,4.23,3.63,4.72
ALLSKY_SFC_SW_DWN,2022,22.5,87.5,3.45,4.39,5.61,5.83,5.78,4.83,4.61,4.33,4.34,4.7,4.25,3.48,4.63
ALLSKY_SFC_SW_DWN,2022,22.5,88.5,3.48,4.31,5.57,5.61,5.41,4.43,4.85,4.31,4.17,4.5,4.15,3.45,4.52
