-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLRSKY_SFC_SW_DWN,2022,20.5,85.5,4.38,5.23,5.97,6.33,6.87,6.69,7.29,7.02,6.71,5.81,4.63,4.03,5.91
CLRSKY_SFC_SW_DWN,2022,20.5,86.5,4.4,5.23,5.97,6.3,6.83,6.64,7.25,6.98,6.69,5.77,4.64,4.07,5.9
CLRSKY_SFC_SW_DWN,2022,20.5,87.5,4.41,5.41,6.11,6.38,6.8,6.68,7.34,7.04,6.75,5.81,4.71,4.07,5.96
CLRSKY_SFC_SW_DWN,2022,20.5,88.5,4.47,5.4,6.04,6.37,6.79,6.68,7.34,7.05,6.76,5.84,4.79,4.15,5.97
CLRSKY_SFC_SW_DWN,2022,20.5,89.5,4.63,5.54,6.23,6.48,6.85,6.76,7.37,7.08,6.74,5.93,5.06,4.3,6.08
CLRSKY_SFC_SW_DWN,2022,20.5,90.5,4.63,5.66,6.25,6.48,6.84,6.76,7.37,7.09,6.75,5.93,5.06,4.31,6.09
CLRSKY_SFC_SW_DWN,2022,20.5,91.5,4.86,5.78,6.25,6.51,6.79,6.82,7.31,7.05,6.64,5.95,5.24,4.56,6.15
CLRSKY_SFC_SW_DWN,2022,20.5,92.5,5.06,5.95,6.39,6.57,6.85,6.88,7.35,7.09,6.66,5.99,5.32,4.7,6.23
CLRSKY_SFC_SW_DWN,2022,20.5,93.5,5.25,6.11,6.45,6.72,7.02,7.19,7.48,7.24,6.74,6.07,5.37,4.84,6.37
CLRSKY_SFC_SW_DWN,2022,20.5,94.5,5.2,6.05,6.39,6.69,6.98,7.14,7.45,7.2,6.71,6.02,5.34,4.79,6.33
CLRSKY_SFC_SW_DWN,2022,21.5,85.5,4.13,5.18,5.98,6.5,6.79,6.68,7.16,6.83,6.35,5.56,4.49,3.87,5.79
CLRSKY_SFC_SW_DWN,2022,21.5,86.5,4.11,5.17,5.96,6.42,6.74,6.64,7.12,6.79,6.32,5.51,4.46,3.85,5.76
CLRSKY_SFC_SW_DWN,2022,21.5,87.5,4.02,5.03,5.88,6.19,6.62,6.57,7.18,6.85,6.27,5.54,4.48,3.76,5.7
CLRSKY_SFC_SW_DWN,2022,21.5,88.5,4.0,5.0,5.79,6.15,6.63,6.57,7.18,6.84,6.33,5.48,4.37,3.68,5.67
CLRSKY_SFC_SW_DWN,2022,21.5,89.5,4.14,5.14,5.91,6.11,6.66,6.68,7.36,7.01,6.43,5.68,4.68,3.83,5.8
CLRSKY_SFC_SW_DWN,2022,21.5,90.5,4.17,5.1,5.85,6.09,6.62,6.67,7.35,7.02,6.43,5.68,4.67,3.85,5.79
CLRSKY_SFC_SW_DWN,2022,21.5,91.5,4.73,5.5,6.22,6.48,6.8,6.77,7.39,7.12,6.63,5.84,5.08,4.42,6.08
CLRSKY_SFC_SW_DWN,2022,21.5,92.5,4.85,5.72,6.32,6.56,6.86,6.86,7.47,7.16,6.67,5.94,5.19,4.48,6.17
CLRSKY_SFC_SW_DWN,2022,21.5,93.5,5.16,6.01,6.39,6.73,7.12,7.28,7.66,7.38,6.88,6.1,5.41,4.75,6.41
CLRSKY_SFC_SW_DWN,2022,21.5,94.5,5.0,5.87,6.22,6.6,6.96,7.12,7.49,7.2,6.71,5.93,5.24,4.59,6.25
CLRSKY_SFC_SW_DWN,2022,22.5,85.5,4.01,5.08,5.9,6.54,6.82,6.72,7.17,6.8,6.29,5.48,4.41,3.77,5.75
CLRSKY_SFC_SW_DWN,2022,22.5,86.5,4.0,5.07,5.89,6.45,6.78,6.69,7.16,6.79,6.27,5.44,4.37,3.74,5.72
CLRSKY_SFC_SW_DWN,2022,22.5,87.5,3.96,4.94,5.8,6.15,6.66,6.64,7.21,6.85,6.22,5.57,4.37,3.58,5.66
