-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SRF_ALB     CERES SYN1deg All Sky Surface Albedo (dimensionless) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SRF_ALB,2022,20.5,85.5,0.11,0.12,0.12,0.12,0.13,0.15,0.16,0.14,0.15,0.14,0.12,0.12,0.13
ALLSKY_SRF_ALB,2022,20.5,86.5,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.11,0.11,0.12,0.13,0.16,0.12
ALLSKY_SRF_ALB,2022,20.5,87.5,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07
ALLSKY_SRF_ALB,2022,20.5,88.5,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.07
ALLSKY_SRF_ALB,2022,20.5,89.5,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.06
ALLSKY_SRF_ALB,2022,20.5,90.5,0.07,0.07,0.07,0.06,0.06,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.06
ALLSKY_SRF_ALB,2022,20.5,91.5,0.08,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.07,0.08,0.08,0.07
ALLSKY_SRF_ALB,2022,20.5,92.5,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12
ALLSKY_SRF_ALB,2022,20.5,93.5,0.14,0.13,0.11,0.1,0.12,0.14,0.13,0.12,0.12,0.15,0.15,0.14,0.13
ALLSKY_SRF_ALB,2022,20.5,94.5,0.16,0.16,0.14,0.14,0.16,0.17,0.16,0.15,0.16,0.17,0.17,0.16,0.16
ALLSKY_SRF_ALB,2022,21.5,85.5,0.12,0.11,0.13,0.14,0.13,0.14,0.16,0.15,0.16,0.14,0.12,0.13,0.14
ALLSKY_SRF_ALB,2022,21.5,86.5,0.11,0.12,0.13,0.14,0.14,0.15,0.14,0.14,0.15,0.14,0.13,0.14,0.14
ALLSKY_SRF_ALB,2022,21.5,87.5,0.07,0.08,0.09,0.12,0.1,0.11,0.12,0.11,0.09,0.1,0.11,0.13,0.1
ALLSKY_SRF_ALB,2022,21.5,88.5,0.05,0.07,0.07,0.12,0.12,0.1,0.11,0.1,0.14,0.08,0.08,0.09,0.09
ALLSKY_SRF_ALB,2022,21.5,89.5,0.06,0.06,0.06,0.1,0.09,0.09,0.1,0.09,0.09,0.08,0.07,0.07,0.08
ALLSKY_SRF_ALB,2022,21.5,90.5,0.08,0.07,0.08,0.08,0.06,0.08,0.08,0.08,0.09,0.08,0.07,0.08,0.08
ALLSKY_SRF_ALB,2022,21.5,91.5,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.1,0.1,0.11,0.1
ALLSKY_SRF_ALB,2022,21.5,92.5,0.12,0.11,0.11,0.11,0.12,0.14,0.16,0.12,0.12,0.14,0.13,0.12,0.12
ALLSKY_SRF_ALB,2022,21.5,93.5,0.12,0.11,0.1,0.09,0.13,0.15,0.14,0.14,0.14,0.15,0.14,0.12,0.13
ALLSKY_SRF_ALB,2022,21.5,94.5,0.16,0.15,0.14,0.13,0.15,0.17,0.17,0.16,0.16,0.16,0.17,0.17,0.16
ALLSKY_SRF_ALB,2022,22.5,85.5,0.11,0.11,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.12,0.13,0.13
ALLSKY_SRF_ALB,2022,22.5,86.5,0.12,0.12,0.13,0.13,0.14,0.16,0.17,0.15,0.16,0.14,0.13,0.14,0.14
ALLSKY_SRF_ALB,2022,22.5,87.5,0.08,0.09,0.11,0.11,0.12,0.12,0.13,0.12,0.1,0.16,0.12,0.11,0.11
ALLSKY_SRF_ALB,2022,22.5,88.5,0.06,0.07,0.09,0.1,0.11,0.11,0.12,0.1,0.09,0.12,0.09,0.08,0.1
ALLSKY_SRF_ALB,2022,22.5,89.5,0.06,0.06,0.09,0.1,0.1,0.1,0.1,0.11,0.09,0.11,0.09,0.06,0.09
ALLSKY_SRF_ALB,2022,22.5,90.5,0.08,0.08,0.1,0.11,0.11,0.12,0.1,0.11,0.1,0.13,0.1,0.07,0.1
ALLSKY_SRF_ALB,2022,22.5,91.5,0.14,0.13,0.14,0.15,0.14,0.13,0.18,0.14,0.14,0.14,0.14,0.13,0.14
ALLSKY_SRF_ALB,2022,22.5,92.5,0.12,0.11,0.1,0.1,0.12,0.12,0.13,0.12,0.14,0.16,0.14,0.11,0.12
ALLSKY_SRF_ALB,2022,22.5,93.5,0.12,0.11,0.09,0.09,0.13,0.14,0.14,0.13,0.14,0.16,0.14,0.11,0.13
ALLSKY_SRF_ALB,2022,22.5,94.5,0.14,0.15,0.14,0.12,0.14,0.15,0.17,0.15,0.16,0.17,0.16,0.16,0.15
ALLSKY_SRF_ALB,2022,23.5,85.5,0.11,0.11,0.14,0.15,0.14,0.15,0.15,0.17,0.12,0.14,0.13,0.14,0.14
ALLSKY_SRF_ALB,2022,23.5,86.5,0.11,0.12,0.13,0.14,0.15,0.15,0.16,0.22,0.14,0.14,0.13,0.14,0.14
ALLSKY_SRF_ALB,2022,23.5,87.5,0.12,0.12,0.13,0.14,0.14,0.15,0.16,0.15,0.13,0.16,0.14,0.15,0.14
ALLSKY_SRF_ALB,2022,23.5,88.5,0.11,0.11,0.13,0.15,0.15,0.15,0.15,0.13,0.11,0.14,0.12,0.14,0.13
ALLSKY_SRF_ALB,2022,23.5,89.5,0.1,0.12,0.12,0.14,0.15,0.16,0.14,0.14,0.13,0.14,0.12,0.13,0.13
ALLSKY_SRF_ALB,2022,23.5,90.5,0.07,0.08,0.1,0.12,0.12,0.13,0.11,0.11,0.09,0.13,0.11,0.08,0.1
ALLSKY_SRF_ALB,2022,23.5,91.5,0.12,0.11,0.11,0.11,0.13,0.13,0.16,0.15,0.12,0.15,0.14,0.12,0.13
ALLSKY_SRF_ALB,2022,23.5,92.5,0.12,0.1,0.1,0.1,0.13,0.13,0.16,0.13,0.15,0.15,0.14,0.11,0.13
ALLSKY_SRF_ALB,2022,23.5,93.5,0.12,0.11,0.1,0.11,0.13,0.14,0.16,0.16,0.17,0.16,0.14,0.13,0.14
ALLSKY_SRF_ALB,2022,23.5,94.5,0.13,0.12,0.12,0.11,0.12,0.14,0.14,0.14,0.16,0.14,0.14,0.14,0.13
ALLSKY_SRF_ALB,2022,24.5,85.5,0.12,0.12,0.15,0.15,0.15,0.18,0.15,0.19,0.13,0.15,0.15,0.15,0.15
ALLSKY_SRF_ALB,2022,24.5,86.5,0.13,0.13,0.16,0.16,0.16,0.18,0.18,0.2,0.14,0.16,0.15,0.16,0.16
ALLSKY_SRF_ALB,2022,24.5,87.5,0.11,0.12,0.13,0.15,0.15,0.15,0.16,0.17,0.13,0.14,0.13,0.14,0.14
ALLSKY_SRF_ALB,2022,24.5,88.5,0.12,0.11,0.13,0.16,0.15,0.17,0.15,0.15,0.13,0.14,0.12,0.14,0.14
ALLSKY_SRF_ALB,2022,24.5,89.5,0.12,0.1,0.12,0.17,0.14,0.14,0.15,0.13,0.13,0.14,0.13,0.13,0.13
