-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLOUD_AMT     CERES SYN1deg Cloud Amount (%) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLOUD_AMT,2022,20.5,85.5,37.29,23.57,19.74,55.5,61.31,84.84,89.27,85.94,77.96,56.26,25.49,23.88,53.42
CLOUD_AMT,2022,20.5,86.5,27.68,21.44,23.03,50.26,57.69,84.37,85.93,84.15,75.86,49.44,30.86,28.92,51.64
CLOUD_AMT,2022,20.5,87.5,31.15,18.43,28.56,57.41,60.97,87.15,83.74,83.54,73.99,44.04,29.59,26.17,52.06
CLOUD_AMT,2022,20.5,88.5,30.51,19.51,29.53,53.14,61.08,89.39,84.63,84.62,76.87,43.34,30.57,28.54,52.64
CLOUD_AMT,2022,20.5,89.5,31.86,20.77,27.31,52.52,65.98,90.81,84.75,85.72,79.14,45.78,32.68,27.6,53.74
CLOUD_AMT,2022,20.5,90.5,30.81,18.13,27.64,52.4,75.68,92.61,87.29,89.07,83.39,51.21,29.85,27.03,55.43
CLOUD_AMT,2022,20.5,91.5,31.12,16.09,33.03,53.35,76.54,93.23,86.86,89.46,84.07,52.2,29.85,28.53,56.19
CLOUD_AMT,2022,20.5,92.5,30.44,22.04,38.87,45.9,78.27,94.85,87.99,89.66,86.8,59.38,28.9,23.89,57.25
CLOUD_AMT,2022,20.5,93.5,28.74,17.02,39.65,42.14,79.73,93.81,83.07,87.48,85.4,64.76,35.53,21.33,56.56
CLOUD_AMT,2022,20.5,94.5,26.63,14.95,33.88,37.45,73.26,91.76,83.83,86.3,77.85,66.48,34.95,21.44,54.07
