-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2022,20.0,85.0,18.98,21.78,28.58,32.9,32.33,30.67,28.12,27.67,27.36,25.43,21.48,20.91,26.35
T2M,2022,20.0,85.625,19.83,22.22,28.01,30.67,31.27,30.23,28.59,28.22,28.09,26.48,22.78,21.61,26.5
T2M,2022,20.0,86.25,20.66,22.71,27.55,29.67,30.35,29.67,28.8,28.42,28.45,27.06,23.68,22.29,26.61
T2M,2022,20.0,86.875,22.68,23.84,27.15,28.22,29.41,29.38,29.1,28.99,29.04,28.25,25.93,24.05,27.17
T2M,2022,20.0,87.5,23.28,24.03,27.02,28.03,29.37,29.42,29.11,29.04,29.08,28.45,26.6,24.55,27.33
T2M,2022,20.0,88.125,23.28,24.11,27.01,28.09,29.44,29.41,29.06,28.94,29.02,28.42,26.75,24.79,27.36
T2M,2022,20.0,88.75,23.19,24.14,27.01,28.18,29.44,29.38,29.03,28.85,28.95,28.43,26.84,25.02,27.37
T2M,2022,20.0,89.375,22.98,24.09,27.03,28.24,29.43,29.39,29.06,28.76,28.9,28.44,26.88,25.14,27.36
T2M,2022,20.0,90.0,22.75,23.95,26.92,28.28,29.46,29.36,29.07,28.74,28.85,28.46,26.93,25.11,27.32
T2M,2022,20.0,90.625,22.64,23.7,26.74,28.33,29.48,29.2,29.05,28.74,28.77,28.51,27.03,25.15,27.28
T2M,2022,20.0,91.25,22.53,23.37,26.6,28.31,29.49,29.07,29.01,28.69,28.7,28.58,27.19,25.26,27.23
T2M,2022,20.0,91.875,22.75,23.29,26.47,28.3,29.46,28.92,28.88,28.68,28.67,28.67,27.45,25.45,27.25
T2M,2022,20.0,92.5,22.9,23.06,26.35,28.3,29.34,28.66,28.69,28.62,28.64,28.69,27.41,25.27,27.16
T2M,2022,20.0,93.125,22.22,22.09,26.57,28.48,28.88,28.01,28.22,28.1,28.15,28.14,26.64,24.16,26.64
T2M,2022,20.0,93.75,21.07,21.32,27.1,28.26,28.17,26.46,26.81,26.54,26.48,26.49,25.58,23.19,25.62
T2M,2022,20.0,94.375,20.85,20.95,27.89,29.04,28.39,26.07,26.46,26.09,25.88,26.13,25.67,23.28,25.56
T2M,2022,20.0,95.0,22.88,22.58,29.86,31.37,30.31,28.54,28.5,27.87,27.68,27.99,27.83,25.52,27.58
T2M,2022,20.5,85.0,17.83,20.66,28.33,33.79,32.9,30.82,27.64,27.17,26.8,24.74,20.45,19.89,25.92
T2M,2022,20.5,85.625,18.23,20.59,27.92,32.55,32.41,30.64,28.15,27.65,27.35,25.49,21.34,20.15,26.04
T2M,2022,20.5,86.25,18.73,21.3,28.0,31.89,31.55,30.0,28.45,27.85,27.72,26.05,22.03,20.7,26.19
T2M,2022,20.5,86.875,21.01,22.89,27.33,29.4,29.88,29.36,29.0,28.71,28.73,27.77,24.67,22.59,26.78
T2M,2022,20.5,87.5,22.57,23.55,26.8,27.82,29.29,29.41,29.2,29.14,29.21,28.5,26.31,24.03,27.15
T2M,2022,20.5,88.125,22.76,23.76,26.87,27.89,29.4,29.46,29.13,29.05,29.14,28.47,26.55,24.38,27.24
T2M,2022,20.5,88.75,22.75,23.82,26.88,28.03,29.43,29.45,29.1,28.96,29.05,28.49,26.68,24.68,27.28
T2M,2022,20.5,89.375,22.68,23.81,26.89,28.15,29.43,29.44,29.11,28.88,28.96,28.53,26.73,24.79,27.28
T2M,2022,20.5,90.0,22.5,23.7,26.82,28.2,29.43,29.4,29.12,28.85,28.92,28.53,26.69,24.7,27.24
T2M,2022,20.5,90.625,22.24,23.51,26.67,28.21,29.43,29.24,29.1,28.86,28.9,28.54,26.77,24.74,27.18
T2M,2022,20.5,91.25,22.13,23.19,26.51,28.2,29.47,29.1,29.05,28.79,28.82,28.6,26.99,24.7,27.13
T2M,2022,20.5,91.875,22.51,23.01,26.31,28.16,29.46,28.9,28.91,28.78,28.77,28.69,27.32,24.92,27.15
T2M,2022,20.5,92.5,21.4,21.87,26.29,28.34,28.94,28.31,28.41,28.32,28.37,28.11,26.21,23.38,26.5
T2M,2022,20.5,93.125,19.87,20.28,26.75,28.37,27.83,26.8,27.22,26.9,26.87,26.45,24.34,21.38,25.26
T2M,2022,20.5,93.75,18.6,19.18,26.12,27.25,26.49,24.81,25.41,25.01,24.93,24.57,23.1,20.7,23.85
T2M,2022,20.5,94.375,21.16,21.34,28.75,30.44,29.3,26.88,27.6,27.19,27.07,26.98,26.16,23.75,26.38
T2M,2022,20.5,95.0,22.11,21.96,29.46,31.57,30.29,28.46,29.05,28.27,28.1,28.01,27.41,24.9,27.47
T2M,2022,21.0,85.0,17.55,20.35,28.17,34.03,33.23,30.92,27.57,27.06,26.72,24.79,20.33,19.82,25.88
T2M,2022,21.0,85.625,17.64,20.04,27.57,33.1,32.31,30.16,27.59,27.13,26.77,25.05,20.86,20.02,25.69
T2M,2022,21.0,86.25,18.12,20.81,28.06,33.05,31.88,29.94,27.98,27.45,27.21,25.62,21.68,20.45,26.02
T2M,2022,21.0,86.875,19.61,22.07,27.39,30.58,30.24,29.44,28.85,28.45,28.41,27.34,23.61,21.3,26.44
T2M,2022,21.0,87.5,21.65,23.06,26.6,27.79,29.28,29.5,29.3,29.2,29.32,28.52,25.92,23.41,26.96
T2M,2022,21.0,88.125,21.81,23.2,26.66,27.79,29.35,29.52,29.24,29.11,29.26,28.5,26.24,23.78,27.04
T2M,2022,21.0,88.75,21.92,23.26,26.67,27.87,29.36,29.48,29.19,29.04,29.18,28.52,26.41,24.07,27.08
T2M,2022,21.0,89.375,22.12,23.38,26.67,27.95,29.38,29.47,29.16,29.01,29.1,28.56,26.47,24.23,27.12
T2M,2022,21.0,90.0,22.01,23.28,26.63,28.02,29.39,29.44,29.17,29.0,29.09,28.57,26.44,24.11,27.1
T2M,2022,21.0,90.625,21.77,22.96,26.53,28.08,29.42,29.28,29.14,28.99,29.05,28.57,26.52,24.07,27.03
T2M,2022,21.0,91.25,21.84,22.65,26.33,28.1,29.41,29.1,29.12,28.95,28.99,28.63,26.72,24.27,27.01
T2M,2022,21.0,91.875,22.01,22.45,26.11,28.03,29.21,28.66,28.77,28.68,28.7,28.46,26.76,24.15,26.83
T2M,2022,21.0,92.5,18.7,19.97,26.28,28.22,27.67,27.01,27.34,27.06,26.98,26.26,23.63,20.32,24.95
T2M,2022,21.0,93.125,18.61,19.31,26.33,27.81,26.64,25.4,25.98,25.57,25.42,24.74,22.49,19.86,24.01
T2M,2022,21.0,93.75,17.09,17.68,24.73,26.17,24.96,23.48,24.24,23.8,23.7,23.07,21.6,19.33,22.49
T2M,2022,21.0,94.375,20.65,20.97,28.62,30.84,29.21,27.23,28.22,27.6,27.51,26.93,25.98,23.34,26.42
T2M,2022,21.0,95.0,21.64,21.53,29.42,32.2,30.47,28.91,29.94,29.02,28.92,28.38,27.47,24.43,27.69
