-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2022,20.0,85.0,39.36,13.18,0.02,0.48,92.27,67.94,307.66,329.23,236.49,169.81,0.01,1.12,1257.57
PRECTOTCORR_SUM,2022,20.0,85.625,40.02,17.64,0.04,1.65,99.63,79.15,342.62,341.83,244.22,185.86,0.0,1.12,1353.78
PRECTOTCORR_SUM,2022,20.0,86.25,40.39,20.07,0.14,8.06,118.15,124.11,323.7,388.7,256.46,184.43,0.0,0.85,1465.06
PRECTOTCORR_SUM,2022,20.0,86.875,36.01,20.9,0.52,12.7,161.38,137.31,282.62,395.09,304.62,187.08,0.89,0.21,1539.33
PRECTOTCORR_SUM,2022,20.0,87.5,34.23,21.22,1.54,12.61,154.87,174.03,282.01,423.43,291.67,159.29,2.99,0.48,1558.37
PRECTOTCORR_SUM,2022,20.0,88.125,26.22,23.13,2.34,13.78,210.79,182.25,278.37,420.22,351.1,173.22,5.73,0.74,1687.89
PRECTOTCORR_SUM,2022,20.0,88.75,16.37,30.47,2.49,13.71,242.75,179.6,301.21,446.8,328.36,227.28,8.09,0.77,1797.9
PRECTOTCORR_SUM,2022,20.0,89.375,10.18,44.51,2.56,22.91,267.18,232.3,308.92,463.61,300.17,311.55,13.99,3.6,1981.48
PRECTOTCORR_SUM,2022,20.0,90.0,9.44,52.86,3.34,51.95,355.43,420.44,312.62,455.78,315.73,378.05,24.31,11.02,2390.97
PRECTOTCORR_SUM,2022,20.0,90.625,11.74,46.95,4.26,76.17,437.97,620.52,293.3,435.64,334.73,384.47,32.98,13.92,2692.65
PRECTOTCORR_SUM,2022,20.0,91.25,14.23,28.49,4.61,75.0,463.17,852.01,297.74,524.71,376.03,349.64,54.65,12.89,3053.17
PRECTOTCORR_SUM,2022,20.0,91.875,16.68,36.26,4.6,83.85,473.34,795.85,284.93,451.6,370.8,371.27,43.53,13.94,2946.65
PRECTOTCORR_SUM,2022,20.0,92.5,86.16,56.13,4.85,146.55,556.75,1308.63,397.18,773.32,575.44,466.49,71.05,17.86,4460.41
PRECTOTCORR_SUM,2022,20.0,93.125,98.05,83.84,4.37,172.31,507.54,1605.37,447.25,896.9,716.34,495.32,70.06,20.06,5117.41
