-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2022,29.5,73.5,2.68,4.52,5.76,6.73,6.62,6.3,5.16,5.43,5.55,4.83,3.56,3.07,5.02
ALLSKY_SFC_SW_DWN,2022,29.5,74.5,2.37,4.37,5.73,6.63,6.43,6.13,4.96,5.54,5.14,4.69,3.5,2.98,4.87
ALLSKY_SFC_SW_DWN,2022,29.5,75.5,2.22,4.31,5.7,6.57,6.27,6.02,4.6,5.62,4.99,4.55,3.51,2.96,4.78
ALLSKY_SFC_SW_DWN,2022,29.5,76.5,2.21,4.31,5.77,6.53,6.24,5.92,4.7,5.46,4.81,4.57,3.66,3.07,4.77
ALLSKY_SFC_SW_DWN,2022,29.5,77.5,2.13,4.17,5.75,6.63,6.26,5.9,4.8,5.31,4.41,4.52,3.71,3.09,4.72
ALLSKY_SFC_SW_DWN,2022,29.5,78.5,2.54,4.33,6.01,6.95,6.42,6.22,5.09,5.28,4.46,4.69,4.05,3.45,4.96
ALLSKY_SFC_SW_DWN,2022,29.5,79.5,2.86,4.24,6.13,7.03,5.97,6.19,4.78,4.93,4.23,4.53,4.14,3.74,4.9
ALLSKY_SFC_SW_DWN,2022,29.5,80.5,3.18,4.29,6.31,7.16,5.91,6.24,5.01,5.11,4.25,4.48,4.37,4.04,5.03
ALLSKY_SFC_SW_DWN,2022,29.5,81.5,3.2,4.04,6.11,6.7,5.29,5.64,4.97,4.75,3.95,4.15,4.25,3.98,4.75
ALLSKY_SFC_SW_DWN,2022,30.5,73.5,2.38,4.1,5.47,6.66,6.58,6.48,4.7,5.5,5.11,4.52,3.55,2.8,4.82
ALLSKY_SFC_SW_DWN,2022,30.5,74.5,2.32,4.3,5.7,6.76,6.61,6.47,4.92,5.91,5.18,4.83,3.78,2.98,4.98
ALLSKY_SFC_SW_DWN,2022,30.5,75.5,2.18,4.25,5.74,6.67,6.54,6.38,4.86,5.92,4.98,4.8,3.71,2.96,4.92
ALLSKY_SFC_SW_DWN,2022,30.5,76.5,2.28,4.45,6.07,6.92,6.76,6.41,5.18,5.83,5.16,5.07,4.02,3.28,5.12
ALLSKY_SFC_SW_DWN,2022,30.5,77.5,2.62,4.39,6.21,7.11,6.49,6.18,4.78,5.17,4.59,4.99,4.17,3.54,5.02
ALLSKY_SFC_SW_DWN,2022,30.5,78.5,2.87,4.21,6.18,7.22,6.45,6.5,4.96,5.04,4.46,4.89,4.23,3.83,5.07
ALLSKY_SFC_SW_DWN,2022,30.5,79.5,2.72,3.63,5.56,6.62,5.73,6.4,5.28,5.21,4.45,4.12,3.87,3.65,4.77
ALLSKY_SFC_SW_DWN,2022,30.5,80.5,2.86,3.75,5.94,7.03,6.23,7.38,5.75,5.66,5.28,4.76,4.39,4.04,5.26
ALLSKY_SFC_SW_DWN,2022,30.5,81.5,2.8,3.66,5.61,7.61,6.52,7.6,6.28,5.89,5.62,4.29,4.67,3.87,5.37
ALLSKY_SFC_SW_DWN,2022,31.5,73.5,2.23,3.94,5.37,6.57,6.53,6.52,4.21,5.52,4.96,4.42,3.42,2.68,4.7
ALLSKY_SFC_SW_DWN,2022,31.5,74.5,2.2,4.09,5.57,6.7,6.56,6.54,4.37,5.57,4.93,4.71,3.62,2.82,4.81
ALLSKY_SFC_SW_DWN,2022,31.5,75.5,1.99,4.02,5.57,6.54,6.48,6.43,4.49,5.57,4.84,4.71,3.57,2.84,4.75
ALLSKY_SFC_SW_DWN,2022,31.5,76.5,2.57,4.31,5.99,7.03,6.58,6.41,4.82,5.22,4.77,5.1,3.92,3.43,5.01
ALLSKY_SFC_SW_DWN,2022,31.5,77.5,2.57,3.77,5.74,6.82,6.09,6.07,4.68,4.92,4.42,4.8,3.78,3.43,4.76
ALLSKY_SFC_SW_DWN,2022,31.5,78.5,2.85,3.77,6.11,7.51,6.74,6.99,5.79,5.62,4.92,4.95,4.28,3.59,5.26
ALLSKY_SFC_SW_DWN,2022,31.5,79.5,2.94,3.77,6.08,7.74,7.63,8.11,6.38,6.31,5.76,5.07,4.35,3.89,5.67
ALLSKY_SFC_SW_DWN,2022,31.5,80.5,3.24,4.07,6.32,7.68,7.26,8.17,6.51,5.99,5.7,5.0,4.6,3.84,5.7
ALLSKY_SFC_SW_DWN,2022,31.5,81.5,3.45,4.16,6.48,6.81,6.93,8.1,6.51,5.8,5.66,4.71,4.38,4.05,5.59
ALLSKY_SFC_SW_DWN,2022,32.5,73.5,2.37,3.9,5.49,6.9,6.93,7.08,4.46,5.78,5.25,4.79,3.53,2.96,4.95
ALLSKY_SFC_SW_DWN,2022,32.5,74.5,2.33,4.08,5.64,6.95,7.07,7.16,4.36,5.62,5.37,4.92,3.58,3.07,5.01
