-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLRSKY_SFC_SW_DWN,2022,29.5,73.5,3.55,4.73,5.94,6.99,7.0,7.04,6.64,6.62,5.83,4.98,3.77,3.48,5.55
CLRSKY_SFC_SW_DWN,2022,29.5,74.5,3.35,4.67,5.89,6.92,6.87,6.94,6.6,6.66,5.68,4.9,3.71,3.45,5.47
CLRSKY_SFC_SW_DWN,2022,29.5,75.5,3.36,4.67,5.87,6.9,6.8,6.92,6.56,6.66,5.68,4.89,3.71,3.45,5.46
CLRSKY_SFC_SW_DWN,2022,29.5,76.5,3.61,4.71,5.97,6.98,6.81,6.99,6.91,6.64,5.69,5.05,3.88,3.57,5.57
CLRSKY_SFC_SW_DWN,2022,29.5,77.5,3.61,4.72,5.97,6.97,6.79,7.0,6.92,6.64,5.68,5.03,3.88,3.57,5.57
CLRSKY_SFC_SW_DWN,2022,29.5,78.5,3.87,4.98,6.27,7.22,7.08,7.41,7.32,7.04,5.99,5.25,4.2,3.86,5.88
CLRSKY_SFC_SW_DWN,2022,29.5,79.5,3.95,5.08,6.39,7.33,7.2,7.55,7.47,7.18,6.14,5.39,4.29,3.93,5.99
CLRSKY_SFC_SW_DWN,2022,29.5,80.5,4.24,5.38,6.74,7.68,7.63,7.98,7.84,7.46,6.4,5.59,4.61,4.21,6.31
CLRSKY_SFC_SW_DWN,2022,29.5,81.5,4.39,5.56,6.93,7.84,7.88,8.2,8.11,7.69,6.62,5.78,4.77,4.34,6.51
CLRSKY_SFC_SW_DWN,2022,30.5,73.5,3.44,4.49,5.76,6.91,6.96,7.05,6.29,6.56,5.45,4.67,3.71,3.31,5.38
CLRSKY_SFC_SW_DWN,2022,30.5,74.5,3.69,4.77,6.0,7.1,7.1,7.21,6.68,6.89,5.69,5.07,4.02,3.58,5.65
CLRSKY_SFC_SW_DWN,2022,30.5,75.5,3.7,4.77,6.0,7.1,7.08,7.21,6.69,6.91,5.7,5.07,4.01,3.58,5.65
CLRSKY_SFC_SW_DWN,2022,30.5,76.5,3.91,5.03,6.37,7.45,7.49,7.7,7.48,7.21,6.29,5.45,4.36,3.89,6.05
CLRSKY_SFC_SW_DWN,2022,30.5,77.5,3.98,5.12,6.49,7.56,7.62,7.82,7.64,7.34,6.39,5.55,4.44,3.94,6.16
