-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SRF_ALB     CERES SYN1deg All Sky Surface Albedo (dimensionless) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SRF_ALB,2022,29.5,73.5,0.16,0.16,0.15,0.19,0.19,0.18,0.21,0.19,0.18,0.17,0.15,0.16,0.17
ALLSKY_SRF_ALB,2022,29.5,74.5,0.15,0.16,0.15,0.17,0.17,0.17,0.19,0.2,0.17,0.16,0.15,0.15,0.17
ALLSKY_SRF_ALB,2022,29.5,75.5,0.16,0.15,0.13,0.15,0.14,0.15,0.15,0.18,0.16,0.15,0.14,0.14,0.15
ALLSKY_SRF_ALB,2022,29.5,76.5,0.16,0.16,0.14,0.15,0.13,0.14,0.14,0.16,0.16,0.16,0.14,0.14,0.15
ALLSKY_SRF_ALB,2022,29.5,77.5,0.14,0.13,0.13,0.12,0.12,0.14,0.15,0.17,0.15,0.14,0.13,0.12,0.14
ALLSKY_SRF_ALB,2022,29.5,78.5,0.12,0.11,0.12,0.11,0.12,0.12,0.15,0.16,0.14,0.14,0.13,0.12,0.13
ALLSKY_SRF_ALB,2022,29.5,79.5,0.1,0.12,0.11,0.11,0.1,0.12,0.13,0.13,0.14,0.13,0.11,0.11,0.12
ALLSKY_SRF_ALB,2022,29.5,80.5,0.14,0.15,0.14,0.14,0.12,0.15,0.16,0.2,0.19,0.15,0.12,0.13,0.15
ALLSKY_SRF_ALB,2022,29.5,81.5,0.19,0.19,0.16,0.14,0.16,0.16,0.18,0.18,0.19,0.13,0.13,0.13,0.16
ALLSKY_SRF_ALB,2022,30.5,73.5,0.13,0.14,0.13,0.14,0.13,0.15,0.18,0.17,0.14,0.14,0.14,0.14,0.14
ALLSKY_SRF_ALB,2022,30.5,74.5,0.16,0.17,0.14,0.14,0.12,0.14,0.16,0.18,0.17,0.17,0.14,0.13,0.15
ALLSKY_SRF_ALB,2022,30.5,75.5,0.16,0.17,0.14,0.15,0.13,0.13,0.16,0.19,0.18,0.18,0.14,0.13,0.15
ALLSKY_SRF_ALB,2022,30.5,76.5,0.15,0.17,0.15,0.15,0.13,0.14,0.13,0.18,0.19,0.17,0.15,0.15,0.16
ALLSKY_SRF_ALB,2022,30.5,77.5,0.12,0.13,0.13,0.13,0.12,0.13,0.15,0.16,0.15,0.13,0.12,0.11,0.13
ALLSKY_SRF_ALB,2022,30.5,78.5,0.14,0.15,0.14,0.14,0.14,0.15,0.18,0.16,0.17,0.13,0.12,0.13,0.15
ALLSKY_SRF_ALB,2022,30.5,79.5,0.24,0.25,0.22,0.19,0.18,0.19,0.24,0.24,0.22,0.17,0.18,0.17,0.21
ALLSKY_SRF_ALB,2022,30.5,80.5,0.32,0.36,0.35,0.25,0.21,0.22,0.18,0.21,0.22,0.27,0.25,0.21,0.25
ALLSKY_SRF_ALB,2022,30.5,81.5,0.28,0.35,0.28,0.34,0.2,0.19,0.17,0.17,0.2,0.23,0.34,0.21,0.25
ALLSKY_SRF_ALB,2022,31.5,73.5,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.15,0.14,0.13,0.13,0.12,0.13
ALLSKY_SRF_ALB,2022,31.5,74.5,0.14,0.16,0.14,0.14,0.13,0.13,0.14,0.16,0.16,0.15,0.14,0.13,0.14
ALLSKY_SRF_ALB,2022,31.5,75.5,0.13,0.15,0.13,0.13,0.13,0.13,0.14,0.15,0.18,0.14,0.13,0.12,0.14
ALLSKY_SRF_ALB,2022,31.5,76.5,0.13,0.14,0.13,0.13,0.12,0.13,0.14,0.15,0.14,0.14,0.13,0.12,0.13
ALLSKY_SRF_ALB,2022,31.5,77.5,0.21,0.19,0.16,0.15,0.16,0.16,0.2,0.16,0.15,0.13,0.14,0.15,0.16
ALLSKY_SRF_ALB,2022,31.5,78.5,0.37,0.36,0.36,0.34,0.21,0.19,0.21,0.18,0.18,0.2,0.29,0.2,0.26
ALLSKY_SRF_ALB,2022,31.5,79.5,0.29,0.3,0.29,0.28,0.22,0.21,0.18,0.21,0.18,0.2,0.22,0.19,0.23
ALLSKY_SRF_ALB,2022,31.5,80.5,0.25,0.29,0.26,0.31,0.18,0.19,0.21,0.19,0.2,0.22,0.31,0.18,0.23
ALLSKY_SRF_ALB,2022,31.5,81.5,0.26,0.3,0.25,0.21,0.18,0.19,0.2,0.18,0.19,0.23,0.26,0.22,0.22
ALLSKY_SRF_ALB,2022,32.5,73.5,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.17,0.15,0.14,0.14,0.13,0.14
ALLSKY_SRF_ALB,2022,32.5,74.5,0.13,0.15,0.15,0.14,0.14,0.15,0.14,0.15,0.16,0.15,0.15,0.14,0.15
ALLSKY_SRF_ALB,2022,32.5,75.5,0.18,0.17,0.15,0.14,0.13,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.15
ALLSKY_SRF_ALB,2022,32.5,76.5,0.28,0.28,0.24,0.19,0.18,0.18,0.19,0.19,0.16,0.15,0.18,0.21,0.2
ALLSKY_SRF_ALB,2022,32.5,77.5,0.55,0.56,0.56,0.46,0.29,0.27,0.26,0.21,0.18,0.24,0.42,0.3,0.36
ALLSKY_SRF_ALB,2022,32.5,78.5,0.39,0.38,0.4,0.29,0.23,0.21,0.21,0.19,0.18,0.19,0.24,0.19,0.26
ALLSKY_SRF_ALB,2022,32.5,79.5,0.27,0.28,0.28,0.22,0.21,0.2,0.21,0.19,0.18,0.19,0.28,0.19,0.23
ALLSKY_SRF_ALB,2022,32.5,80.5,0.21,0.28,0.23,0.22,0.2,0.2,0.21,0.19,0.19,0.2,0.19,0.2,0.21
ALLSKY_SRF_ALB,2022,32.5,81.5,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.22,0.2,0.21
