-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLOUD_AMT     CERES SYN1deg Cloud Amount (%) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLOUD_AMT,2022,29.5,73.5,51.5,23.8,23.5,39.02,57.13,75.92,81.13,72.17,21.88,14.39,26.37,31.22,43.17
CLOUD_AMT,2022,29.5,74.5,56.11,31.58,20.09,33.35,50.26,78.43,81.61,72.77,34.99,12.61,25.67,33.01,44.21
CLOUD_AMT,2022,29.5,75.5,64.6,34.49,24.44,36.09,57.45,76.74,81.22,66.5,36.74,15.77,26.19,38.0,46.52
CLOUD_AMT,2022,29.5,76.5,70.46,36.44,35.33,48.0,55.22,69.02,80.31,57.96,38.74,21.5,29.88,40.99,48.65
CLOUD_AMT,2022,29.5,77.5,72.83,39.25,36.69,44.05,56.92,60.65,75.03,58.28,49.52,29.43,28.58,41.67,49.41
CLOUD_AMT,2022,29.5,78.5,66.08,37.52,25.66,40.44,56.41,65.92,76.04,68.74,58.95,28.15,21.59,27.79,47.77
CLOUD_AMT,2022,29.5,79.5,60.01,40.09,19.52,29.73,60.93,64.02,82.91,76.94,68.46,32.73,21.25,23.11,48.31
CLOUD_AMT,2022,29.5,80.5,56.46,44.79,25.1,35.39,65.7,66.19,85.53,83.08,76.08,38.17,20.13,14.68,50.94
CLOUD_AMT,2022,29.5,81.5,61.37,56.68,38.89,43.73,76.13,73.9,88.39,87.12,82.88,48.37,33.4,29.63,60.04
CLOUD_AMT,2022,30.5,73.5,60.35,36.78,34.05,38.91,66.79,66.4,79.91,54.84,27.16,15.46,24.41,44.87,45.83
CLOUD_AMT,2022,30.5,74.5,65.8,38.09,35.54,36.84,55.07,56.6,77.36,49.58,32.97,15.86,29.33,43.32,44.7
CLOUD_AMT,2022,30.5,75.5,71.91,39.49,37.76,41.02,61.76,58.78,74.09,48.3,39.47,23.59,35.02,47.44,48.22
CLOUD_AMT,2022,30.5,76.5,75.82,42.05,33.53,43.36,59.42,57.75,76.36,55.68,44.91,21.61,29.28,42.5,48.52
CLOUD_AMT,2022,30.5,77.5,69.25,41.57,31.4,41.62,65.74,65.64,82.84,72.28,64.15,34.17,29.46,31.09,52.43
CLOUD_AMT,2022,30.5,78.5,65.66,47.72,31.71,36.32,61.96,62.02,87.64,77.84,73.97,35.61,28.64,26.26,52.95
CLOUD_AMT,2022,30.5,79.5,65.26,59.56,48.0,47.33,63.78,63.81,82.39,77.66,75.62,50.13,45.29,38.75,59.8
CLOUD_AMT,2022,30.5,80.5,54.13,53.11,46.33,45.37,54.78,51.13,70.38,68.83,61.44,43.2,36.35,30.93,51.33
CLOUD_AMT,2022,30.5,81.5,50.72,47.08,47.24,50.97,59.58,48.03,65.99,64.1,53.75,42.95,30.06,22.36,48.57
CLOUD_AMT,2022,31.5,73.5,61.87,38.31,36.53,44.61,63.86,53.99,82.08,51.52,30.21,20.0,29.33,44.54,46.4
CLOUD_AMT,2022,31.5,74.5,67.44,38.56,37.14,43.55,63.72,54.24,80.61,51.19,37.53,24.16,33.93,46.44,48.21
CLOUD_AMT,2022,31.5,75.5,75.2,44.15,39.57,48.45,67.39,56.73,79.04,53.84,42.56,24.97,34.65,49.92,51.37
CLOUD_AMT,2022,31.5,76.5,69.58,35.47,28.1,31.14,54.7,54.07,81.07,67.22,52.32,19.21,26.65,28.39,45.66
CLOUD_AMT,2022,31.5,77.5,71.24,53.13,38.76,40.98,61.59,62.69,89.7,76.58,66.24,35.94,39.0,33.22,55.76
CLOUD_AMT,2022,31.5,78.5,59.67,53.49,42.4,40.61,45.38,45.36,73.85,62.53,53.65,33.27,40.42,39.82,49.2
CLOUD_AMT,2022,31.5,79.5,57.35,54.64,46.19,38.12,44.47,35.99,64.87,60.39,49.27,33.45,26.53,20.79,44.34
