-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2022,29.0,73.125,13.66,18.13,27.74,33.9,36.52,36.04,32.33,30.62,31.26,28.22,22.91,17.42,27.4
T2M,2022,29.0,73.75,13.6,17.89,27.31,33.52,36.11,36.12,32.35,31.01,31.4,27.68,22.37,17.0,27.2
T2M,2022,29.0,74.375,13.37,17.34,26.93,33.24,35.81,36.01,32.07,30.7,31.01,26.98,21.89,16.7,26.84
T2M,2022,29.0,75.0,13.07,16.71,26.42,32.99,35.47,35.94,31.82,30.46,30.65,26.13,21.31,16.38,26.45
T2M,2022,29.0,75.625,12.66,16.02,25.89,32.89,35.26,35.95,31.57,29.97,30.12,25.01,20.44,15.9,25.97
T2M,2022,29.0,76.25,12.03,15.11,24.94,32.82,35.12,35.89,31.35,29.3,29.37,23.76,19.28,14.85,25.32
T2M,2022,29.0,76.875,11.69,14.58,24.38,32.25,34.89,35.63,31.75,29.5,29.27,23.32,18.5,14.15,24.99
T2M,2022,29.0,77.5,11.57,14.41,24.27,32.18,34.65,35.53,32.02,30.55,29.4,23.26,18.1,14.12,25.01
T2M,2022,29.0,78.125,11.78,14.46,24.19,32.05,34.3,35.47,31.89,30.11,29.23,23.27,18.08,14.13,24.91
T2M,2022,29.0,78.75,12.36,14.84,24.41,31.77,34.01,35.39,32.08,31.0,29.18,23.53,18.82,14.74,25.18
T2M,2022,29.0,79.375,12.45,14.71,24.27,31.09,32.95,34.79,31.31,30.23,28.09,23.18,18.97,15.36,24.78
