-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2MDEW,2022,29.0,73.125,3.62,2.88,3.49,0.65,7.15,14.66,25.15,24.14,21.04,10.33,4.84,-1.05,9.74
T2MDEW,2022,29.0,73.75,3.2,2.81,4.65,1.66,7.75,14.2,24.51,23.33,20.55,10.93,5.35,-0.48,9.87
T2MDEW,2022,29.0,74.375,3.77,3.43,5.3,1.93,8.29,14.26,24.53,23.44,20.82,11.53,5.56,-0.4,10.21
T2MDEW,2022,29.0,75.0,4.35,4.3,5.93,2.03,8.96,14.31,24.57,23.62,21.26,12.7,6.15,-0.14,10.67
T2MDEW,2022,29.0,75.625,5.03,5.21,6.57,1.89,9.67,14.26,24.67,24.05,21.91,14.36,7.92,0.82,11.36
T2MDEW,2022,29.0,76.25,6.09,6.26,8.14,1.77,10.21,14.28,24.81,24.67,22.64,16.21,9.93,3.09,12.34
T2MDEW,2022,29.0,76.875,6.97,7.04,9.09,3.64,10.6,14.59,24.36,24.58,22.65,17.18,11.08,4.54,13.03
T2MDEW,2022,29.0,77.5,7.43,7.46,9.18,3.62,10.81,14.44,23.97,23.74,22.49,17.87,11.78,5.19,13.16
T2MDEW,2022,29.0,78.125,7.95,8.0,9.51,4.04,11.27,14.45,23.99,24.19,22.78,18.62,12.74,6.29,13.65
T2MDEW,2022,29.0,78.75,8.28,8.13,9.9,4.86,11.51,14.28,23.53,23.47,22.88,18.92,13.26,7.32,13.86
T2MDEW,2022,29.0,79.375,7.98,7.81,9.85,5.15,12.12,13.88,23.25,23.38,22.81,18.77,13.33,7.67,13.83
T2MDEW,2022,29.0,80.0,7.35,7.29,10.12,5.18,13.4,14.0,23.14,23.41,22.55,18.36,13.39,8.1,13.86
T2MDEW,2022,29.0,80.625,5.15,5.22,8.65,3.94,13.32,14.37,21.79,22.05,20.94,16.54,11.81,6.16,12.49
T2MDEW,2022,29.0,81.25,3.27,3.79,7.53,3.86,12.14,13.66,20.2,20.72,19.54,15.04,10.39,4.63,11.23
