-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2022,29.0,73.125,33.34,3.57,2.31,0.01,8.66,46.48,261.55,90.56,7.7,0.18,2.37,0.19,456.92
PRECTOTCORR_SUM,2022,29.0,73.75,37.63,4.17,1.86,0.14,11.98,43.52,279.22,79.91,19.99,1.46,2.61,0.03,482.52
PRECTOTCORR_SUM,2022,29.0,74.375,43.97,4.46,1.75,0.54,15.37,45.13,288.96,77.19,42.62,4.49,2.45,0.0,526.93
PRECTOTCORR_SUM,2022,29.0,75.0,53.51,5.48,1.33,1.13,23.69,41.65,268.18,67.88,76.21,9.49,1.72,0.01,550.28
PRECTOTCORR_SUM,2022,29.0,75.625,67.34,10.42,0.53,1.43,32.69,43.81,276.88,59.65,135.31,19.61,0.91,0.05,648.63
PRECTOTCORR_SUM,2022,29.0,76.25,83.22,19.33,0.07,1.13,41.54,73.29,334.78,64.42,211.03,46.2,0.3,0.12,875.43
PRECTOTCORR_SUM,2022,29.0,76.875,93.01,25.93,0.0,0.49,49.91,82.02,294.56,64.88,240.27,97.03,0.04,0.12,948.26
PRECTOTCORR_SUM,2022,29.0,77.5,90.54,31.61,0.0,0.13,47.3,73.67,178.88,55.34,233.38,146.43,0.08,0.04,857.4
PRECTOTCORR_SUM,2022,29.0,78.125,91.99,29.9,0.0,0.17,51.37,74.56,239.71,60.65,246.93,129.09,0.03,0.08,924.48
PRECTOTCORR_SUM,2022,29.0,78.75,88.88,39.95,0.01,0.17,46.91,67.62,152.62,70.75,243.18,180.49,0.1,0.04,890.72
PRECTOTCORR_SUM,2022,29.0,79.375,88.56,55.06,0.14,0.8,51.72,69.89,143.87,117.59,274.28,243.91,0.08,0.06,1045.96
PRECTOTCORR_SUM,2022,29.0,80.0,76.87,65.47,0.41,3.45,64.53,75.05,167.36,160.15,301.29,282.96,0.03,0.53,1198.1
PRECTOTCORR_SUM,2022,29.0,80.625,55.64,67.31,0.49,9.65,86.06,77.58,185.17,186.89,290.54,278.41,0.09,2.4,1240.23
PRECTOTCORR_SUM,2022,29.0,81.25,37.25,67.76,0.5,15.79,97.35,72.61,196.8,205.94,237.07,255.01,0.31,3.69,1190.08
PRECTOTCORR_SUM,2022,29.0,81.875,25.11,67.14,3.43,23.4,99.98,89.36,227.91,258.42,216.09,235.77,0.47,2.57,1249.65
PRECTOTCORR_SUM,2022,29.5,73.125,37.34,1.71,2.76,0.0,13.82,39.62,287.73,84.49,10.35,0.09,3.12,0.55,481.58
PRECTOTCORR_SUM,2022,29.5,73.75,43.14,2.51,2.06,0.09,15.56,34.79,326.05,82.91,25.09,1.04,3.28,0.12,536.64
PRECTOTCORR_SUM,2022,29.5,74.375,51.43,4.19,1.68,0.42,17.12,35.84,346.8,91.73,53.22,3.82,2.93,0.04,609.22
PRECTOTCORR_SUM,2022,29.5,75.0,62.27,7.44,1.12,0.92,27.85,35.33,313.45,78.52,95.23,8.87,2.0,0.08,633.08
PRECTOTCORR_SUM,2022,29.5,75.625,76.49,12.93,0.43,1.12,41.98,44.91,309.52,61.97,159.45,17.85,1.03,0.15,727.83
PRECTOTCORR_SUM,2022,29.5,76.25,92.17,21.12,0.06,0.78,53.05,73.58,395.63,70.78,253.39,38.88,0.41,0.27,1000.12
PRECTOTCORR_SUM,2022,29.5,76.875,101.51,28.95,0.0,0.36,57.03,89.44,398.82,91.98,296.22,83.54,0.22,0.29,1148.36
PRECTOTCORR_SUM,2022,29.5,77.5,106.52,36.38,0.0,0.6,52.21,97.88,257.29,96.15,275.51,141.14,0.62,0.17,1064.47
PRECTOTCORR_SUM,2022,29.5,78.125,103.33,33.4,0.0,0.25,55.6,87.45,324.2,93.16,290.38,120.16,0.3,0.23,1108.46
PRECTOTCORR_SUM,2022,29.5,78.75,107.45,43.36,0.04,0.87,52.06,93.71,203.23,107.03,288.32,175.1,0.79,0.16,1072.12
PRECTOTCORR_SUM,2022,29.5,79.375,106.07,54.15,0.29,1.38,58.86,82.67,166.37,140.24,317.94,227.99,0.75,0.2,1156.91
PRECTOTCORR_SUM,2022,29.5,80.0,84.87,54.79,0.64,3.27,66.38,63.79,155.06,151.84,297.26,249.89,0.29,0.4,1128.48
PRECTOTCORR_SUM,2022,29.5,80.625,54.83,51.38,0.71,9.41,71.35,49.2,149.41,142.49,237.3,228.27,0.19,1.32,995.86
PRECTOTCORR_SUM,2022,29.5,81.25,33.32,56.29,0.69,16.46,69.67,38.53,147.44,141.95,165.35,196.32,0.42,1.98,868.42
PRECTOTCORR_SUM,2022,29.5,81.875,20.32,59.04,3.03,21.6,64.75,39.23,153.95,155.67,123.77,169.6,0.59,1.43,812.98
PRECTOTCORR_SUM,2022,30.0,73.125,43.24,0.9,3.06,0.0,17.07,36.13,312.49,89.98,12.88,0.11,3.86,1.0,520.72
