-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2022,10.5,73.5,5.7,6.04,6.04,5.79,3.77,4.27,4.24,4.52,5.91,5.26,4.81,4.6,5.08
ALLSKY_SFC_SW_DWN,2022,10.5,74.5,5.62,5.92,6.12,5.68,3.72,4.44,4.31,4.71,5.92,4.87,4.64,4.56,5.04
ALLSKY_SFC_SW_DWN,2022,10.5,75.5,5.59,5.93,6.15,5.75,3.91,4.65,4.49,4.99,5.97,5.14,4.66,4.62,5.15
ALLSKY_SFC_SW_DWN,2022,10.5,76.5,5.41,5.82,6.03,5.47,4.28,4.95,4.04,4.47,5.23,4.89,4.29,4.45,4.94
ALLSKY_SFC_SW_DWN,2022,10.5,77.5,4.91,5.52,5.99,5.69,5.17,5.58,4.83,4.98,5.72,4.7,3.94,4.14,5.1
ALLSKY_SFC_SW_DWN,2022,10.5,78.5,4.99,5.59,6.08,6.19,5.57,5.75,5.25,5.45,5.92,4.75,4.05,4.1,5.31
ALLSKY_SFC_SW_DWN,2022,10.5,79.5,4.8,5.47,5.99,6.03,5.66,5.64,5.2,5.32,5.79,4.35,3.88,3.96,5.17
ALLSKY_SFC_SW_DWN,2022,10.5,80.5,5.17,5.67,6.23,6.29,6.02,5.74,5.31,5.37,5.97,4.53,4.36,4.17,5.4
ALLSKY_SFC_SW_DWN,2022,10.5,81.5,5.26,5.75,6.1,6.34,6.0,5.6,5.17,5.17,5.89,4.63,4.25,4.26,5.37
ALLSKY_SFC_SW_DWN,2022,10.5,82.5,5.38,5.9,5.99,6.37,5.93,5.37,4.96,5.12,5.78,4.54,4.39,4.19,5.33
ALLSKY_SFC_SW_DWN,2022,11.5,73.5,5.67,6.08,6.0,5.78,4.01,4.1,4.16,4.6,5.65,5.26,4.61,4.63,5.05
ALLSKY_SFC_SW_DWN,2022,11.5,74.5,5.6,6.0,6.02,5.82,4.09,4.17,4.21,4.73,5.79,5.1,4.75,4.66,5.08
ALLSKY_SFC_SW_DWN,2022,11.5,75.5,5.74,6.14,6.2,5.77,4.23,4.69,3.96,4.62,5.59,5.23,4.72,4.73,5.13
ALLSKY_SFC_SW_DWN,2022,11.5,76.5,5.2,5.84,5.9,5.69,4.43,4.94,3.79,4.29,5.17,4.49,4.14,4.43,4.86
ALLSKY_SFC_SW_DWN,2022,11.5,77.5,4.92,5.89,5.96,5.98,5.2,5.55,4.62,4.95,5.52,4.75,4.06,4.19,5.13
ALLSKY_SFC_SW_DWN,2022,11.5,78.5,4.78,5.69,5.92,6.19,5.33,5.69,4.96,5.1,5.57,4.56,3.85,3.93,5.13
ALLSKY_SFC_SW_DWN,2022,11.5,79.5,4.69,5.53,5.85,6.31,5.54,5.76,5.15,5.27,5.47,4.47,3.86,3.9,5.15
ALLSKY_SFC_SW_DWN,2022,11.5,80.5,5.23,5.81,6.12,6.44,5.9,5.68,5.42,5.25,5.48,4.44,4.12,4.1,5.33
ALLSKY_SFC_SW_DWN,2022,11.5,81.5,5.39,5.91,6.06,6.46,5.85,5.45,5.25,5.1,5.37,4.54,4.16,4.2,5.31
ALLSKY_SFC_SW_DWN,2022,11.5,82.5,5.48,6.03,5.96,6.41,5.83,5.13,4.98,4.88,5.24,4.46,4.23,4.28,5.24
