-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLRSKY_SFC_SW_DWN,2022,10.5,73.5,5.93,6.28,6.51,6.7,6.43,6.83,6.73,6.99,7.11,6.51,5.73,5.44,6.43
CLRSKY_SFC_SW_DWN,2022,10.5,74.5,5.84,6.16,6.46,6.69,6.37,6.79,6.73,6.96,7.04,6.25,5.52,5.41,6.35
CLRSKY_SFC_SW_DWN,2022,10.5,75.5,5.79,6.15,6.51,6.73,6.37,6.8,6.74,6.97,7.05,6.24,5.53,5.44,6.36
CLRSKY_SFC_SW_DWN,2022,10.5,76.5,5.74,6.18,6.62,6.8,6.56,6.81,6.79,6.92,6.98,6.25,5.46,5.51,6.39
CLRSKY_SFC_SW_DWN,2022,10.5,77.5,5.81,6.25,6.67,6.88,6.62,6.87,6.85,6.97,7.04,6.3,5.53,5.57,6.45
CLRSKY_SFC_SW_DWN,2022,10.5,78.5,5.8,6.39,6.7,7.09,6.64,6.7,6.73,6.84,7.07,6.23,5.62,5.52,6.44
CLRSKY_SFC_SW_DWN,2022,10.5,79.5,5.73,6.34,6.64,7.02,6.57,6.64,6.67,6.77,7.0,6.17,5.55,5.46,6.38
CLRSKY_SFC_SW_DWN,2022,10.5,80.5,5.95,6.56,6.8,7.17,6.73,6.68,6.75,6.81,7.21,6.32,5.81,5.51,6.52
CLRSKY_SFC_SW_DWN,2022,10.5,81.5,5.97,6.56,6.82,7.17,6.73,6.66,6.73,6.8,7.19,6.31,5.8,5.51,6.52
CLRSKY_SFC_SW_DWN,2022,10.5,82.5,6.04,6.6,6.82,7.26,6.78,6.62,6.8,6.83,7.23,6.32,5.84,5.59,6.56
CLRSKY_SFC_SW_DWN,2022,11.5,73.5,5.83,6.22,6.35,6.59,6.47,6.77,6.68,6.9,6.95,6.39,5.55,5.39,6.34
CLRSKY_SFC_SW_DWN,2022,11.5,74.5,5.81,6.18,6.44,6.68,6.46,6.77,6.66,6.88,6.93,6.25,5.57,5.42,6.34
CLRSKY_SFC_SW_DWN,2022,11.5,75.5,5.9,6.31,6.58,6.75,6.53,6.82,6.73,6.94,6.99,6.31,5.62,5.52,6.42
CLRSKY_SFC_SW_DWN,2022,11.5,76.5,5.84,6.45,6.72,7.01,6.69,6.99,6.88,7.02,7.15,6.34,5.71,5.59,6.53
CLRSKY_SFC_SW_DWN,2022,11.5,77.5,5.77,6.4,6.66,6.94,6.62,6.9,6.81,6.93,7.06,6.27,5.65,5.52,6.46
CLRSKY_SFC_SW_DWN,2022,11.5,78.5,5.69,6.3,6.62,7.07,6.6,6.74,6.76,6.88,7.07,6.24,5.57,5.43,6.41
CLRSKY_SFC_SW_DWN,2022,11.5,79.5,5.6,6.23,6.55,7.0,6.52,6.67,6.68,6.81,6.99,6.16,5.48,5.34,6.34
CLRSKY_SFC_SW_DWN,2022,11.5,80.5,5.74,6.43,6.68,7.12,6.69,6.63,6.76,6.86,7.13,6.16,5.6,5.33,6.43
CLRSKY_SFC_SW_DWN,2022,11.5,81.5,5.78,6.46,6.69,7.09,6.67,6.62,6.73,6.84,7.12,6.16,5.59,5.33,6.42
CLRSKY_SFC_SW_DWN,2022,11.5,82.5,5.89,6.5,6.75,7.16,6.74,6.53,6.76,6.79,7.17,6.27,5.69,5.45,6.47
CLRSKY_SFC_SW_DWN,2022,12.5,73.5,5.77,6.22,6.31,6.58,6.52,6.83,6.73,6.91,6.92,6.34,5.45,5.31,6.32
CLRSKY_SFC_SW_DWN,2022,12.5,74.5,5.71,6.17,6.44,6.73,6.51,6.83,6.72,6.9,6.91,6.2,5.46,5.35,6.33
CLRSKY_SFC_SW_DWN,2022,12.5,75.5,5.89,6.32,6.63,6.86,6.69,6.99,6.89,7.06,7.06,6.36,5.62,5.5,6.49
CLRSKY_SFC_SW_DWN,2022,12.5,76.5,5.74,6.39,6.69,7.02,6.74,7.02,6.94,7.03,7.1,6.29,5.62,5.49,6.51
CLRSKY_SFC_SW_DWN,2022,12.5,77.5,5.73,6.39,6.69,7.03,6.74,7.02,6.93,7.02,7.09,6.28,5.62,5.49,6.5
CLRSKY_SFC_SW_DWN,2022,12.5,78.5,5.63,6.29,6.64,7.16,6.7,6.84,6.86,6.96,7.1,6.24,5.52,5.38,6.44
CLRSKY_SFC_SW_DWN,2022,12.5,79.5,5.54,6.2,6.55,7.06,6.61,6.76,6.78,6.87,7.0,6.15,5.43,5.27,6.35
CLRSKY_SFC_SW_DWN,2022,12.5,80.5,5.61,6.27,6.55,7.09,6.67,6.67,6.76,6.85,7.09,6.02,5.5,5.18,6.36
CLRSKY_SFC_SW_DWN,2022,12.5,81.5,5.67,6.39,6.66,7.12,6.72,6.67,6.78,6.87,7.1,6.09,5.5,5.22,6.4
CLRSKY_SFC_SW_DWN,2022,12.5,82.5,5.79,6.47,6.74,7.15,6.79,6.58,6.8,6.81,7.15,6.2,5.61,5.34,6.45
CLRSKY_SFC_SW_DWN,2022,13.5,73.5,5.67,6.23,6.27,6.55,6.58,6.8,6.68,6.81,6.8,6.25,5.43,5.25,6.28
CLRSKY_SFC_SW_DWN,2022,13.5,74.5,5.73,6.35,6.46,6.7,6.67,6.92,6.72,6.81,6.85,6.16,5.44,5.34,6.35
CLRSKY_SFC_SW_DWN,2022,13.5,75.5,5.85,6.46,6.65,6.88,6.86,7.1,6.91,7.0,7.03,6.33,5.59,5.48,6.51
CLRSKY_SFC_SW_DWN,2022,13.5,76.5,5.68,6.38,6.63,6.99,6.8,7.1,6.99,7.04,7.12,6.28,5.5,5.35,6.49
CLRSKY_SFC_SW_DWN,2022,13.5,77.5,5.69,6.41,6.67,7.03,6.83,7.12,7.01,7.06,7.14,6.3,5.52,5.36,6.51
CLRSKY_SFC_SW_DWN,2022,13.5,78.5,5.57,6.28,6.6,7.05,6.86,6.99,7.04,7.03,7.11,6.26,5.46,5.26,6.46
CLRSKY_SFC_SW_DWN,2022,13.5,79.5,5.46,6.17,6.5,6.95,6.74,6.88,6.94,6.93,7.0,6.14,5.36,5.15,6.35
CLRSKY_SFC_SW_DWN,2022,13.5,80.5,5.47,6.07,6.41,6.83,6.67,6.71,6.86,6.86,7.0,6.0,5.37,5.05,6.27
CLRSKY_SFC_SW_DWN,2022,13.5,81.5,5.52,6.24,6.49,6.93,6.76,6.72,6.88,6.88,7.04,6.04,5.39,5.07,6.33
CLRSKY_SFC_SW_DWN,2022,13.5,82.5,5.61,6.33,6.58,7.01,6.82,6.61,6.88,6.88,7.1,6.15,5.43,5.11,6.38
CLRSKY_SFC_SW_DWN,2022,14.5,73.5,5.58,6.21,6.24,6.57,6.62,6.85,6.72,6.82,6.77,6.22,5.35,5.16,6.26
CLRSKY_SFC_SW_DWN,2022,14.5,74.5,5.69,6.35,6.52,6.79,6.79,7.03,6.83,6.89,6.91,6.17,5.39,5.31,6.39
CLRSKY_SFC_SW_DWN,2022,14.5,75.5,5.72,6.38,6.6,6.87,6.86,7.12,6.94,6.99,6.98,6.24,5.48,5.36,6.46
CLRSKY_SFC_SW_DWN,2022,14.5,76.5,5.56,6.3,6.58,6.98,6.84,7.13,7.01,7.03,7.06,6.19,5.38,5.2,6.44
CLRSKY_SFC_SW_DWN,2022,14.5,77.5,5.52,6.27,6.56,6.96,6.8,7.1,6.97,6.99,7.02,6.15,5.35,5.18,6.41
CLRSKY_SFC_SW_DWN,2022,14.5,78.5,5.39,6.13,6.49,6.97,6.79,6.95,6.99,6.95,6.98,6.09,5.29,5.07,6.34
CLRSKY_SFC_SW_DWN,2022,14.5,79.5,5.35,6.08,6.45,6.94,6.74,6.91,6.95,6.91,6.94,6.04,5.24,5.02,6.3
CLRSKY_SFC_SW_DWN,2022,14.5,80.5,5.38,5.99,6.34,6.76,6.67,6.73,6.88,6.86,6.95,5.91,5.28,4.97,6.23
CLRSKY_SFC_SW_DWN,2022,14.5,81.5,5.39,6.13,6.43,6.93,6.77,6.77,6.9,6.89,7.0,5.98,5.3,4.97,6.29
CLRSKY_SFC_SW_DWN,2022,14.5,82.5,5.49,6.22,6.52,7.05,6.84,6.65,6.91,6.89,7.06,6.09,5.36,5.0,6.34
CLRSKY_SFC_SW_DWN,2022,15.5,73.5,5.41,6.12,6.25,6.55,6.77,6.85,6.76,6.76,6.47,6.07,5.03,5.02,6.17
CLRSKY_SFC_SW_DWN,2022,15.5,74.5,5.44,6.11,6.4,6.61,6.82,6.98,6.93,6.87,6.73,6.09,5.15,5.08,6.27
CLRSKY_SFC_SW_DWN,2022,15.5,75.5,5.43,6.11,6.42,6.63,6.84,7.0,6.96,6.88,6.74,6.1,5.17,5.09,6.28
CLRSKY_SFC_SW_DWN,2022,15.5,76.5,5.36,6.05,6.43,6.71,6.87,7.05,7.05,6.9,6.85,6.14,5.22,5.06,6.31
CLRSKY_SFC_SW_DWN,2022,15.5,77.5,5.33,6.04,6.41,6.71,6.84,7.03,7.04,6.9,6.82,6.12,5.2,5.04,6.29
CLRSKY_SFC_SW_DWN,2022,15.5,78.5,5.18,5.87,6.28,6.6,6.82,6.89,7.07,6.87,6.8,6.06,5.14,4.86,6.2
CLRSKY_SFC_SW_DWN,2022,15.5,79.5,5.15,5.83,6.26,6.6,6.78,6.87,7.03,6.84,6.77,6.02,5.12,4.83,6.17
CLRSKY_SFC_SW_DWN,2022,15.5,80.5,5.12,5.83,6.16,6.53,6.72,6.65,6.95,6.76,6.82,5.91,5.12,4.81,6.12
CLRSKY_SFC_SW_DWN,2022,15.5,81.5,5.08,5.8,6.06,6.46,6.7,6.62,6.91,6.74,6.84,5.91,5.08,4.78,6.08
CLRSKY_SFC_SW_DWN,2022,15.5,82.5,5.24,6.04,6.31,6.78,6.82,6.67,7.02,6.92,7.0,6.04,5.16,4.83,6.24
CLRSKY_SFC_SW_DWN,2022,16.5,73.5,5.35,6.09,6.27,6.68,6.9,6.96,6.87,6.83,6.49,6.06,5.02,4.97,6.21
CLRSKY_SFC_SW_DWN,2022,16.5,74.5,5.33,6.03,6.38,6.64,6.88,7.03,6.98,6.88,6.7,6.03,5.09,4.97,6.24
CLRSKY_SFC_SW_DWN,2022,16.5,75.5,5.32,6.02,6.38,6.64,6.89,7.04,6.97,6.88,6.69,6.02,5.09,4.97,6.24
CLRSKY_SFC_SW_DWN,2022,16.5,76.5,5.25,5.97,6.38,6.7,6.9,7.09,7.07,6.9,6.8,6.07,5.13,4.95,6.27
CLRSKY_SFC_SW_DWN,2022,16.5,77.5,5.23,5.95,6.37,6.72,6.9,7.09,7.08,6.9,6.78,6.06,5.12,4.93,6.26
