-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SRF_ALB     CERES SYN1deg All Sky Surface Albedo (dimensionless) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SRF_ALB,2022,10.5,73.5,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.08,0.07
ALLSKY_SRF_ALB,2022,10.5,74.5,0.08,0.07,0.07,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.06
ALLSKY_SRF_ALB,2022,10.5,75.5,0.07,0.08,0.08,0.1,0.07,0.07,0.07,0.07,0.09,0.06,0.06,0.07,0.07
ALLSKY_SRF_ALB,2022,10.5,76.5,0.12,0.12,0.14,0.13,0.14,0.16,0.14,0.14,0.13,0.13,0.11,0.11,0.13
ALLSKY_SRF_ALB,2022,10.5,77.5,0.14,0.14,0.14,0.15,0.16,0.16,0.17,0.15,0.16,0.15,0.13,0.14,0.15
ALLSKY_SRF_ALB,2022,10.5,78.5,0.15,0.15,0.14,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.15
ALLSKY_SRF_ALB,2022,10.5,79.5,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.1,0.09,0.11,0.11
ALLSKY_SRF_ALB,2022,10.5,80.5,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
ALLSKY_SRF_ALB,2022,10.5,81.5,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
ALLSKY_SRF_ALB,2022,10.5,82.5,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
ALLSKY_SRF_ALB,2022,11.5,73.5,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.08,0.07
ALLSKY_SRF_ALB,2022,11.5,74.5,0.07,0.08,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.07,0.07,0.06
ALLSKY_SRF_ALB,2022,11.5,75.5,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1
ALLSKY_SRF_ALB,2022,11.5,76.5,0.12,0.13,0.13,0.13,0.14,0.17,0.15,0.15,0.16,0.13,0.14,0.12,0.14
ALLSKY_SRF_ALB,2022,11.5,77.5,0.14,0.14,0.14,0.13,0.15,0.14,0.16,0.14,0.16,0.13,0.15,0.13,0.14
ALLSKY_SRF_ALB,2022,11.5,78.5,0.15,0.14,0.13,0.14,0.14,0.14,0.15,0.15,0.16,0.15,0.14,0.14,0.14
ALLSKY_SRF_ALB,2022,11.5,79.5,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.11,0.12,0.12
ALLSKY_SRF_ALB,2022,11.5,80.5,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
ALLSKY_SRF_ALB,2022,11.5,81.5,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
ALLSKY_SRF_ALB,2022,11.5,82.5,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
ALLSKY_SRF_ALB,2022,12.5,73.5,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.07,0.07,0.07,0.07
ALLSKY_SRF_ALB,2022,12.5,74.5,0.05,0.06,0.06,0.08,0.05,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.06
ALLSKY_SRF_ALB,2022,12.5,75.5,0.12,0.12,0.12,0.11,0.13,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.13
ALLSKY_SRF_ALB,2022,12.5,76.5,0.13,0.13,0.14,0.13,0.16,0.16,0.18,0.16,0.15,0.14,0.14,0.13,0.15
ALLSKY_SRF_ALB,2022,12.5,77.5,0.13,0.13,0.14,0.14,0.15,0.15,0.18,0.17,0.16,0.14,0.14,0.13,0.15
ALLSKY_SRF_ALB,2022,12.5,78.5,0.13,0.13,0.13,0.14,0.15,0.15,0.16,0.17,0.16,0.16,0.13,0.13,0.14
ALLSKY_SRF_ALB,2022,12.5,79.5,0.13,0.13,0.13,0.15,0.14,0.15,0.16,0.16,0.15,0.15,0.14,0.13,0.14
ALLSKY_SRF_ALB,2022,12.5,80.5,0.05,0.05,0.04,0.05,0.05,0.05,0.04,0.03,0.06,0.04,0.05,0.03,0.04
ALLSKY_SRF_ALB,2022,12.5,81.5,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
ALLSKY_SRF_ALB,2022,12.5,82.5,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06
ALLSKY_SRF_ALB,2022,13.5,73.5,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.06,0.07,0.07,0.08,0.07
ALLSKY_SRF_ALB,2022,13.5,74.5,0.08,0.1,0.09,0.09,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.09,0.09
ALLSKY_SRF_ALB,2022,13.5,75.5,0.13,0.12,0.12,0.12,0.15,0.16,0.16,0.16,0.15,0.13,0.12,0.12,0.14
ALLSKY_SRF_ALB,2022,13.5,76.5,0.14,0.14,0.14,0.14,0.15,0.17,0.18,0.18,0.16,0.15,0.13,0.13,0.15
ALLSKY_SRF_ALB,2022,13.5,77.5,0.15,0.15,0.15,0.14,0.17,0.18,0.2,0.19,0.18,0.16,0.13,0.14,0.16
ALLSKY_SRF_ALB,2022,13.5,78.5,0.14,0.13,0.13,0.14,0.16,0.17,0.18,0.18,0.18,0.18,0.14,0.14,0.16
ALLSKY_SRF_ALB,2022,13.5,79.5,0.13,0.12,0.12,0.13,0.15,0.15,0.17,0.16,0.17,0.16,0.14,0.13,0.14
ALLSKY_SRF_ALB,2022,13.5,80.5,0.05,0.05,0.05,0.06,0.04,0.04,0.04,0.03,0.04,0.03,0.05,0.05,0.04
ALLSKY_SRF_ALB,2022,13.5,81.5,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.07,0.06
ALLSKY_SRF_ALB,2022,13.5,82.5,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06
ALLSKY_SRF_ALB,2022,14.5,73.5,0.08,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.08,0.08,0.07
ALLSKY_SRF_ALB,2022,14.5,74.5,0.11,0.12,0.12,0.11,0.14,0.13,0.13,0.13,0.14,0.11,0.1,0.11,0.12
ALLSKY_SRF_ALB,2022,14.5,75.5,0.15,0.14,0.14,0.13,0.15,0.16,0.19,0.18,0.16,0.14,0.14,0.14,0.15
ALLSKY_SRF_ALB,2022,14.5,76.5,0.16,0.16,0.15,0.15,0.18,0.18,0.2,0.19,0.16,0.16,0.14,0.14,0.16
ALLSKY_SRF_ALB,2022,14.5,77.5,0.16,0.16,0.15,0.15,0.17,0.18,0.19,0.19,0.17,0.16,0.14,0.15,0.16
ALLSKY_SRF_ALB,2022,14.5,78.5,0.13,0.14,0.13,0.13,0.15,0.14,0.17,0.17,0.17,0.15,0.14,0.13,0.15
