-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLOUD_AMT     CERES SYN1deg Cloud Amount (%) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLOUD_AMT,2022,10.5,73.5,27.55,30.92,38.42,52.39,87.72,91.35,93.89,86.47,70.38,70.76,57.65,53.67,63.43
CLOUD_AMT,2022,10.5,74.5,26.71,31.22,40.54,59.46,88.63,90.1,93.97,86.6,69.36,74.23,65.69,55.56,65.17
CLOUD_AMT,2022,10.5,75.5,28.63,32.62,44.25,66.3,89.06,89.42,93.37,86.94,72.64,77.05,71.21,57.13,67.39
CLOUD_AMT,2022,10.5,76.5,26.7,32.92,45.79,64.78,86.33,86.12,93.82,90.52,71.38,79.55,68.46,55.46,66.82
CLOUD_AMT,2022,10.5,77.5,40.75,38.18,47.26,64.43,79.96,79.66,90.01,89.19,69.12,82.06,71.81,61.71,67.85
CLOUD_AMT,2022,10.5,78.5,37.18,38.9,47.13,64.0,77.41,78.12,88.79,86.72,65.76,80.34,72.3,64.5,66.76
CLOUD_AMT,2022,10.5,79.5,36.14,40.68,40.15,51.26,68.28,71.09,84.97,82.4,66.55,82.01,76.19,68.96,64.06
CLOUD_AMT,2022,10.5,80.5,40.28,49.23,43.98,47.85,67.34,77.71,84.44,82.05,70.65,79.54,72.97,72.91,65.75
CLOUD_AMT,2022,10.5,81.5,42.39,49.64,43.82,48.71,68.13,81.94,84.65,82.89,74.2,78.59,74.55,73.74,66.94
CLOUD_AMT,2022,10.5,82.5,45.67,50.36,44.8,51.51,70.34,84.5,85.96,84.05,76.68,77.19,71.65,74.85,68.13
CLOUD_AMT,2022,11.5,73.5,23.86,25.42,38.35,49.57,84.77,92.61,94.4,86.45,71.47,67.15,57.05,48.84,61.66
CLOUD_AMT,2022,11.5,74.5,24.64,28.18,43.27,57.75,84.59,91.21,94.37,87.61,73.01,73.08,63.52,51.44,64.39
CLOUD_AMT,2022,11.5,75.5,21.16,23.08,37.06,56.81,84.98,88.85,92.77,87.36,70.28,69.29,61.11,47.46,61.68
CLOUD_AMT,2022,11.5,76.5,38.49,37.65,47.65,61.57,85.03,86.68,95.01,93.48,78.39,79.33,68.56,53.7,68.8
CLOUD_AMT,2022,11.5,77.5,46.59,36.76,44.59,55.43,78.99,79.93,91.01,89.97,75.75,79.54,74.07,59.52,67.68
CLOUD_AMT,2022,11.5,78.5,43.05,37.0,42.0,50.38,75.01,76.35,89.3,88.15,73.23,78.87,76.95,63.67,66.16
CLOUD_AMT,2022,11.5,79.5,34.16,35.94,41.85,46.26,70.11,74.24,86.03,84.33,81.95,86.79,87.16,65.53,66.2
CLOUD_AMT,2022,11.5,80.5,34.98,43.93,42.6,41.41,64.67,78.4,83.44,83.53,74.27,76.21,75.37,70.02,64.07
CLOUD_AMT,2022,11.5,81.5,37.28,43.75,40.82,43.9,63.78,81.63,82.28,84.36,75.87,74.46,73.44,69.39,64.25
CLOUD_AMT,2022,11.5,82.5,39.68,43.14,43.23,47.24,66.02,83.36,84.24,85.17,79.05,73.96,72.17,70.28,65.63
