-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2022,10.0,73.125,27.56,27.5,28.72,29.14,29.02,28.2,27.54,27.3,27.28,27.76,27.84,28.15,28.0
T2M,2022,10.0,73.75,27.59,27.58,28.77,29.08,29.02,28.2,27.37,27.21,27.21,27.69,27.7,28.12,27.96
T2M,2022,10.0,74.375,27.6,27.57,28.78,29.01,29.05,28.18,27.16,27.08,27.16,27.59,27.59,28.11,27.91
T2M,2022,10.0,75.0,27.64,27.6,28.83,28.98,29.02,28.07,26.84,26.84,27.05,27.47,27.51,28.11,27.83
T2M,2022,10.0,75.625,27.69,27.66,28.88,28.96,28.89,27.9,26.6,26.48,26.83,27.28,27.43,28.05,27.72
T2M,2022,10.0,76.25,27.4,28.51,29.65,28.36,27.62,26.75,25.83,25.68,26.01,26.39,26.59,27.06,27.15
T2M,2022,10.0,76.875,22.04,22.96,25.04,24.58,23.5,22.51,21.84,21.81,22.14,22.24,21.85,21.51,22.67
T2M,2022,10.0,77.5,21.35,22.3,25.19,25.94,25.48,23.84,23.3,22.93,23.17,22.87,21.54,21.03,23.24
T2M,2022,10.0,78.125,24.23,25.51,28.5,28.99,29.43,27.99,27.34,26.57,27.03,26.07,24.11,23.79,26.63
T2M,2022,10.0,78.75,24.94,25.82,28.94,29.62,30.42,29.17,28.9,27.91,28.45,27.17,25.06,24.63,27.59
T2M,2022,10.0,79.375,26.08,26.32,28.66,29.65,30.42,29.41,29.36,28.52,28.87,28.13,26.35,25.87,28.14
T2M,2022,10.0,80.0,26.73,26.68,28.36,29.35,29.75,28.96,29.21,28.52,28.63,28.36,27.07,26.62,28.19
T2M,2022,10.0,80.625,26.89,26.8,28.1,29.04,29.49,28.79,29.01,28.38,28.5,28.26,27.34,26.88,28.12
T2M,2022,10.0,81.25,27.02,26.92,27.92,28.98,29.6,28.91,28.96,28.41,28.58,28.11,27.46,26.96,28.15
T2M,2022,10.0,81.875,27.12,26.93,27.88,28.93,29.68,28.95,28.87,28.4,28.61,27.96,27.48,26.99,28.15
T2M,2022,10.0,82.5,27.14,26.9,27.89,28.88,29.75,28.92,28.8,28.38,28.56,27.88,27.46,26.93,28.12
T2M,2022,10.5,73.125,27.52,27.5,28.73,29.2,29.11,28.22,27.6,27.31,27.26,27.76,27.92,28.18,28.03
T2M,2022,10.5,73.75,27.55,27.57,28.78,29.16,29.09,28.2,27.42,27.21,27.16,27.67,27.77,28.19,27.98
T2M,2022,10.5,74.375,27.56,27.6,28.79,29.07,29.09,28.15,27.16,27.03,27.09,27.57,27.66,28.19,27.91
T2M,2022,10.5,75.0,27.59,27.65,28.84,29.01,29.03,28.02,26.81,26.72,26.98,27.46,27.61,28.18,27.83
T2M,2022,10.5,75.625,27.55,27.91,29.13,28.98,28.75,27.73,26.46,26.27,26.67,27.16,27.44,27.88,27.66
T2M,2022,10.5,76.25,26.46,28.17,29.73,28.39,27.29,26.32,25.47,25.33,25.58,25.93,25.96,25.94,26.71
T2M,2022,10.5,76.875,22.78,24.09,26.75,26.46,24.85,23.73,23.12,22.95,23.19,23.25,22.66,22.23,23.84
T2M,2022,10.5,77.5,22.53,23.68,26.71,27.84,26.78,25.21,24.59,24.23,24.44,24.07,22.61,22.32,24.58
T2M,2022,10.5,78.125,23.94,25.21,28.38,29.42,29.35,27.85,27.17,26.56,26.84,25.87,24.06,23.81,26.54
T2M,2022,10.5,78.75,24.39,25.18,28.74,29.95,30.51,29.02,28.63,27.83,28.01,26.75,24.78,24.33,27.34
T2M,2022,10.5,79.375,25.15,25.48,28.7,29.86,30.85,29.5,29.3,28.41,28.6,27.57,25.56,25.05,27.84
T2M,2022,10.5,80.0,26.37,26.43,28.32,29.37,30.05,29.1,29.31,28.54,28.74,28.17,26.8,26.3,28.12
T2M,2022,10.5,80.625,26.91,26.8,27.97,29.05,29.61,28.83,29.12,28.46,28.66,28.22,27.44,26.96,28.17
T2M,2022,10.5,81.25,26.98,26.82,27.87,29.03,29.67,28.92,29.04,28.48,28.64,28.07,27.47,26.97,28.16
T2M,2022,10.5,81.875,27.05,26.8,27.84,28.99,29.72,28.94,28.91,28.49,28.63,27.97,27.47,26.94,28.15
T2M,2022,10.5,82.5,27.06,26.76,27.85,28.92,29.78,28.95,28.84,28.5,28.59,27.9,27.47,26.92,28.13
T2M,2022,11.0,73.125,27.48,27.45,28.7,29.23,29.19,28.24,27.63,27.3,27.23,27.75,28.02,28.16,28.03
T2M,2022,11.0,73.75,27.51,27.52,28.73,29.23,29.16,28.21,27.44,27.17,27.14,27.64,27.91,28.2,27.99
T2M,2022,11.0,74.375,27.56,27.56,28.75,29.16,29.12,28.14,27.14,26.92,27.04,27.53,27.78,28.24,27.91
T2M,2022,11.0,75.0,27.59,27.67,28.8,29.09,29.03,28.0,26.78,26.53,26.88,27.38,27.71,28.23,27.81
T2M,2022,11.0,75.625,27.31,28.17,29.33,28.87,28.28,27.32,26.13,25.9,26.29,26.8,27.23,27.56,27.43
T2M,2022,11.0,76.25,24.16,26.11,27.92,27.36,25.81,24.71,23.92,23.85,24.08,24.29,24.03,23.79,25.0
T2M,2022,11.0,76.875,22.39,24.03,27.01,27.41,25.61,24.4,23.73,23.39,23.52,23.43,22.62,22.18,24.14
T2M,2022,11.0,77.5,24.05,25.63,28.88,29.98,28.64,27.28,26.69,26.13,26.26,25.67,24.07,23.98,26.44
T2M,2022,11.0,78.125,24.19,25.67,28.98,30.11,29.46,28.02,27.56,26.87,27.01,26.06,24.32,24.16,26.87
T2M,2022,11.0,78.75,23.79,24.72,28.41,30.0,30.19,28.55,28.25,27.49,27.5,26.29,24.37,23.96,26.96
T2M,2022,11.0,79.375,24.69,25.07,28.6,30.09,31.05,29.52,29.25,28.4,28.38,27.24,25.2,24.68,27.68
T2M,2022,11.0,80.0,26.07,26.1,28.16,29.38,30.21,29.22,29.29,28.55,28.71,27.98,26.59,26.08,28.03
T2M,2022,11.0,80.625,26.86,26.73,27.91,29.05,29.67,28.89,29.14,28.53,28.75,28.2,27.42,26.95,28.17
T2M,2022,11.0,81.25,26.92,26.72,27.83,29.03,29.72,28.95,29.06,28.52,28.68,28.09,27.45,26.93,28.16
T2M,2022,11.0,81.875,26.96,26.67,27.8,29.01,29.74,28.97,28.93,28.54,28.64,28.0,27.46,26.84,28.13
T2M,2022,11.0,82.5,26.95,26.64,27.81,28.95,29.78,28.98,28.84,28.55,28.6,27.96,27.46,26.87,28.12
T2M,2022,11.5,73.125,27.41,27.37,28.65,29.22,29.26,28.26,27.63,27.26,27.19,27.77,28.11,28.14,28.02
T2M,2022,11.5,73.75,27.46,27.46,28.68,29.24,29.22,28.22,27.41,27.1,27.12,27.62,28.03,28.19,27.98
T2M,2022,11.5,74.375,27.53,27.53,28.71,29.22,29.15,28.15,27.12,26.79,26.99,27.47,27.9,28.24,27.9
T2M,2022,11.5,75.0,27.56,27.74,28.87,29.14,28.91,27.92,26.73,26.32,26.74,27.23,27.75,28.15,27.75
T2M,2022,11.5,75.625,25.96,27.38,28.67,28.26,27.17,26.23,25.26,25.01,25.34,25.69,25.93,26.12,26.42
T2M,2022,11.5,76.25,21.82,23.85,26.06,26.45,24.32,23.01,22.38,22.34,22.53,22.59,22.0,21.62,23.25
T2M,2022,11.5,76.875,20.96,22.64,25.6,26.71,24.8,23.45,22.8,22.41,22.51,22.31,21.33,20.84,23.03
T2M,2022,11.5,77.5,23.26,24.88,28.28,29.43,28.15,26.84,26.29,25.57,25.59,24.83,23.28,23.14,25.8
T2M,2022,11.5,78.125,23.68,25.2,28.72,29.97,28.98,27.57,27.26,26.29,26.34,25.37,23.69,23.52,26.38
T2M,2022,11.5,78.75,23.02,24.04,27.72,29.52,29.42,27.8,27.53,26.59,26.57,25.45,23.55,23.17,26.2
T2M,2022,11.5,79.375,24.69,25.16,28.56,30.21,30.96,29.51,29.24,28.33,28.29,27.13,25.12,24.62,27.65
T2M,2022,11.5,80.0,25.95,25.87,27.89,29.29,30.15,29.28,29.26,28.59,28.66,27.94,26.57,26.04,27.96
T2M,2022,11.5,80.625,26.77,26.63,27.87,29.02,29.7,28.93,29.12,28.6,28.74,28.23,27.38,26.93,28.16
T2M,2022,11.5,81.25,26.84,26.6,27.8,29.0,29.74,28.98,29.06,28.56,28.67,28.11,27.4,26.9,28.14
T2M,2022,11.5,81.875,26.86,26.54,27.77,28.99,29.75,29.0,28.94,28.55,28.63,28.03,27.43,26.79,28.11
T2M,2022,11.5,82.5,26.85,26.51,27.78,28.96,29.76,28.99,28.85,28.55,28.58,28.03,27.45,26.83,28.1
T2M,2022,12.0,73.125,27.32,27.25,28.6,29.2,29.25,28.3,27.62,27.23,27.14,27.82,28.22,28.16,28.01
T2M,2022,12.0,73.75,27.4,27.4,28.66,29.22,29.22,28.23,27.4,27.02,27.08,27.63,28.16,28.17,27.97
T2M,2022,12.0,74.375,27.48,27.51,28.71,29.24,29.14,28.15,27.1,26.68,26.9,27.41,28.05,28.2,27.88
T2M,2022,12.0,75.0,27.02,27.62,28.94,28.95,28.38,27.46,26.4,25.96,26.29,26.75,27.33,27.53,27.39
T2M,2022,12.0,75.625,23.54,25.55,27.34,27.28,25.57,24.55,23.82,23.62,23.84,23.98,23.75,23.76,24.72
T2M,2022,12.0,76.25,21.0,23.23,26.07,26.97,24.32,22.81,22.34,22.13,22.22,22.22,21.32,20.84,22.96
T2M,2022,12.0,76.875,21.25,23.26,26.42,27.45,25.02,23.45,22.99,22.59,22.58,22.39,21.25,20.72,23.28
T2M,2022,12.0,77.5,21.79,23.38,26.84,28.19,26.58,25.08,24.49,23.89,23.72,23.08,21.66,21.35,24.17
T2M,2022,12.0,78.125,22.63,24.07,27.81,29.21,27.8,26.35,26.01,25.08,24.94,24.04,22.45,22.16,25.21
T2M,2022,12.0,78.75,22.49,23.39,27.31,29.24,28.85,27.34,26.85,25.88,25.75,24.69,22.89,22.46,25.6
T2M,2022,12.0,79.375,24.31,24.75,28.39,30.27,30.67,29.39,28.93,27.95,27.87,26.67,24.74,24.27,27.35
T2M,2022,12.0,80.0,25.65,25.61,27.83,29.32,30.09,29.33,29.21,28.54,28.5,27.77,26.31,25.79,27.83
T2M,2022,12.0,80.625,26.62,26.5,27.83,28.99,29.72,29.01,29.15,28.69,28.72,28.26,27.33,26.88,28.14
T2M,2022,12.0,81.25,26.75,26.48,27.76,28.97,29.75,29.04,29.07,28.63,28.64,28.11,27.37,26.92,28.12
T2M,2022,12.0,81.875,26.76,26.42,27.72,28.96,29.74,29.02,28.98,28.57,28.58,28.06,27.4,26.83,28.09
T2M,2022,12.0,82.5,26.76,26.37,27.73,28.93,29.73,28.99,28.89,28.56,28.54,28.06,27.45,26.86,28.07
T2M,2022,12.5,73.125,27.22,27.12,28.55,29.18,29.25,28.33,27.63,27.21,27.13,27.88,28.33,28.21,28.0
T2M,2022,12.5,73.75,27.34,27.34,28.64,29.22,29.19,28.23,27.43,26.98,27.04,27.66,28.32,28.21,27.97
T2M,2022,12.5,74.375,27.41,27.52,28.8,29.28,29.07,28.11,27.13,26.63,26.83,27.37,28.22,28.15,27.88
T2M,2022,12.5,75.0,26.11,27.36,29.06,28.78,27.79,26.84,25.96,25.6,25.74,26.13,26.6,26.67,26.89
T2M,2022,12.5,75.625,21.75,24.0,26.42,26.72,24.59,23.43,22.79,22.63,22.71,22.79,22.27,22.17,23.52
T2M,2022,12.5,76.25,20.63,22.81,26.01,27.23,24.53,22.99,22.47,22.09,22.1,21.96,20.88,20.49,22.85
T2M,2022,12.5,76.875,21.66,23.9,27.56,28.55,25.7,24.03,23.63,23.22,22.99,22.69,21.36,20.91,23.85
T2M,2022,12.5,77.5,21.46,23.19,26.97,28.41,26.28,24.44,23.84,23.49,23.12,22.63,21.16,20.71,23.81
T2M,2022,12.5,78.125,21.72,23.23,27.07,28.46,26.72,25.1,24.63,24.12,23.79,22.99,21.45,21.07,24.2
T2M,2022,12.5,78.75,22.13,23.14,27.54,29.47,28.56,27.07,26.33,25.67,25.36,24.25,22.57,22.11,25.35
T2M,2022,12.5,79.375,23.26,23.63,27.99,30.47,30.34,29.08,28.26,27.39,27.08,25.81,24.03,23.54,26.74
T2M,2022,12.5,80.0,25.11,25.2,28.05,29.82,30.27,29.52,29.11,28.43,28.22,27.34,25.82,25.32,27.68
T2M,2022,12.5,80.625,26.38,26.31,27.83,29.03,29.78,29.23,29.24,28.78,28.73,28.22,27.23,26.75,28.13
T2M,2022,12.5,81.25,26.62,26.36,27.72,28.94,29.73,29.17,29.14,28.72,28.65,28.14,27.39,26.95,28.13
T2M,2022,12.5,81.875,26.66,26.29,27.67,28.94,29.73,29.1,29.04,28.64,28.57,28.09,27.43,26.92,28.09
T2M,2022,12.5,82.5,26.67,26.23,27.65,28.94,29.69,29.02,28.94,28.6,28.52,28.04,27.49,26.96,28.06
T2M,2022,13.0,73.125,27.09,26.99,28.46,29.17,29.31,28.32,27.65,27.21,27.15,27.91,28.38,28.27,27.99
T2M,2022,13.0,73.75,27.24,27.26,28.6,29.23,29.24,28.23,27.47,27.02,27.04,27.68,28.41,28.26,27.97
T2M,2022,13.0,74.375,27.29,27.66,29.03,29.35,29.04,28.02,27.15,26.68,26.8,27.38,28.34,28.14,27.91
T2M,2022,13.0,75.0,25.31,26.95,28.9,28.7,27.5,26.41,25.64,25.35,25.39,25.71,26.12,26.08,26.51
T2M,2022,13.0,75.625,20.92,22.68,25.48,26.49,24.53,23.27,22.68,22.44,22.4,22.38,21.65,21.44,23.03
T2M,2022,13.0,76.25,20.12,21.95,25.44,27.12,24.53,22.97,22.45,22.03,21.88,21.65,20.47,20.1,22.56
T2M,2022,13.0,76.875,21.0,23.27,27.13,28.28,25.41,23.7,23.23,22.88,22.57,22.18,20.78,20.46,23.41
T2M,2022,13.0,77.5,20.86,22.57,26.38,27.99,25.69,23.72,23.01,22.84,22.47,21.88,20.31,20.02,23.14
T2M,2022,13.0,78.125,20.68,22.15,26.14,27.58,25.76,24.02,23.35,23.18,22.78,22.02,20.42,20.15,23.19
T2M,2022,13.0,78.75,21.46,22.53,27.0,29.31,28.0,26.43,25.43,25.1,24.62,23.51,21.85,21.42,24.72
T2M,2022,13.0,79.375,22.73,23.31,28.04,30.92,30.11,28.91,27.78,27.24,26.7,25.39,23.62,23.08,26.49
T2M,2022,13.0,80.0,24.68,24.94,28.32,30.47,30.41,29.8,28.95,28.48,28.04,27.04,25.49,24.99,27.63
T2M,2022,13.0,80.625,26.13,26.13,27.86,29.19,29.87,29.58,29.28,28.85,28.75,28.14,27.09,26.59,28.12
T2M,2022,13.0,81.25,26.46,26.23,27.66,28.91,29.69,29.33,29.16,28.76,28.72,28.16,27.41,26.95,28.12
T2M,2022,13.0,81.875,26.53,26.16,27.62,28.94,29.67,29.19,29.02,28.69,28.62,28.12,27.48,27.0,28.09
T2M,2022,13.0,82.5,26.56,26.13,27.58,28.96,29.64,29.08,28.94,28.64,28.54,28.05,27.55,27.03,28.06
T2M,2022,13.5,73.125,26.92,26.85,28.38,29.16,29.36,28.35,27.65,27.27,27.17,27.89,28.4,28.26,27.97
T2M,2022,13.5,73.75,27.09,27.13,28.55,29.21,29.27,28.32,27.48,27.12,27.05,27.69,28.4,28.26,27.96
T2M,2022,13.5,74.375,26.86,27.47,29.03,29.31,28.88,27.85,26.96,26.61,26.62,27.22,28.14,27.89,27.74
T2M,2022,13.5,75.0,23.49,24.94,27.14,27.62,26.41,25.26,24.51,24.28,24.31,24.55,24.76,24.48,25.15
