-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2022,10.0,73.125,16.29,4.83,15.39,107.94,265.7,248.81,372.28,347.87,114.59,95.58,76.73,75.15,1741.16
PRECTOTCORR_SUM,2022,10.0,73.75,22.31,6.27,18.14,128.25,308.59,282.36,420.82,359.18,134.26,96.89,98.8,86.91,1962.78
PRECTOTCORR_SUM,2022,10.0,74.375,33.26,10.9,28.46,149.2,361.59,304.37,434.95,356.93,147.19,91.84,112.93,104.16,2135.78
PRECTOTCORR_SUM,2022,10.0,75.0,61.12,16.82,53.94,206.81,374.87,275.3,427.18,379.93,147.97,97.84,151.82,122.3,2315.9
PRECTOTCORR_SUM,2022,10.0,75.625,52.78,22.65,77.6,273.03,410.61,273.3,421.39,449.82,158.88,147.54,217.31,139.17,2644.08
PRECTOTCORR_SUM,2022,10.0,76.25,17.88,22.82,78.37,286.56,440.73,321.39,447.48,518.68,185.33,214.46,238.26,137.52,2909.48
PRECTOTCORR_SUM,2022,10.0,76.875,16.67,11.98,71.76,248.69,284.2,244.62,409.46,416.17,151.08,216.69,233.91,120.9,2426.13
PRECTOTCORR_SUM,2022,10.0,77.5,20.82,6.08,39.82,145.38,122.29,115.37,239.55,200.51,93.42,206.47,171.2,101.49,1462.4
PRECTOTCORR_SUM,2022,10.0,78.125,20.57,8.34,29.14,123.12,97.27,92.83,194.09,154.5,82.7,212.54,164.06,118.96,1298.12
PRECTOTCORR_SUM,2022,10.0,78.75,40.14,22.2,15.65,109.7,54.36,88.8,136.03,110.45,67.91,209.53,166.62,253.84,1275.23
PRECTOTCORR_SUM,2022,10.0,79.375,77.33,39.86,17.91,132.13,46.16,84.04,165.77,115.05,61.17,223.82,218.61,280.45,1462.3
PRECTOTCORR_SUM,2022,10.0,80.0,77.56,66.06,21.88,145.33,75.63,70.01,169.21,125.58,68.3,241.11,301.81,226.75,1589.23
PRECTOTCORR_SUM,2022,10.0,80.625,69.25,89.75,27.84,122.55,96.43,64.06,157.9,126.77,76.46,253.36,318.32,239.02,1641.71
PRECTOTCORR_SUM,2022,10.0,81.25,66.08,89.16,46.79,132.83,100.02,66.8,159.65,125.74,80.05,234.01,255.08,328.92,1685.13
PRECTOTCORR_SUM,2022,10.0,81.875,65.96,70.0,87.13,160.41,100.96,77.01,154.95,116.25,83.63,238.44,179.82,431.92,1766.48
PRECTOTCORR_SUM,2022,10.0,82.5,58.6,53.66,94.03,120.62,110.43,85.07,131.56,111.64,80.72,222.17,154.51,410.54,1633.55
PRECTOTCORR_SUM,2022,10.5,73.125,10.29,3.02,12.18,97.88,273.29,354.85,447.46,367.5,115.96,93.9,77.79,71.38,1925.5
PRECTOTCORR_SUM,2022,10.5,73.75,12.88,3.92,15.59,129.69,340.44,400.09,515.97,386.32,142.69,91.05,91.81,79.38,2209.83
PRECTOTCORR_SUM,2022,10.5,74.375,17.27,6.36,23.6,164.47,389.92,416.07,541.65,388.0,162.97,87.59,102.82,91.91,2392.63
PRECTOTCORR_SUM,2022,10.5,75.0,28.61,8.46,39.03,210.82,365.59,330.0,506.51,399.1,169.76,85.35,130.92,101.44,2375.59
PRECTOTCORR_SUM,2022,10.5,75.625,26.18,10.57,54.55,234.88,355.15,271.5,482.85,466.3,184.17,116.95,170.98,117.25,2491.33
PRECTOTCORR_SUM,2022,10.5,76.25,17.44,11.81,60.5,211.51,358.57,278.02,477.78,513.1,201.87,175.64,180.66,125.0,2611.9
PRECTOTCORR_SUM,2022,10.5,76.875,20.08,7.35,58.84,179.3,217.07,197.29,365.26,369.45,144.06,187.73,179.53,109.86,2035.82
PRECTOTCORR_SUM,2022,10.5,77.5,21.06,4.43,37.97,117.23,102.91,112.04,196.61,181.26,91.33,184.97,149.91,93.32,1293.04
PRECTOTCORR_SUM,2022,10.5,78.125,21.67,5.05,27.2,97.95,86.04,93.95,150.31,141.38,84.34,182.74,143.79,99.99,1134.41
PRECTOTCORR_SUM,2022,10.5,78.75,38.54,17.71,18.18,76.85,67.91,101.49,117.42,114.37,96.27,169.99,151.06,172.74,1142.53
PRECTOTCORR_SUM,2022,10.5,79.375,68.5,36.64,22.5,85.78,69.01,96.54,127.64,123.97,93.83,173.76,213.08,207.16,1318.41
PRECTOTCORR_SUM,2022,10.5,80.0,53.01,46.62,25.41,96.63,100.85,86.94,114.92,131.9,88.16,198.74,279.72,189.27,1412.17
PRECTOTCORR_SUM,2022,10.5,80.625,39.58,51.01,25.25,85.91,122.65,82.8,113.62,133.38,88.03,233.92,277.68,212.89,1466.72
PRECTOTCORR_SUM,2022,10.5,81.25,41.3,50.32,37.06,84.34,121.22,81.99,122.35,132.3,88.96,221.89,226.01,281.31,1489.05
PRECTOTCORR_SUM,2022,10.5,81.875,41.39,46.02,71.54,87.17,117.6,87.22,123.82,123.55,94.89,212.1,173.74,339.13,1518.17
PRECTOTCORR_SUM,2022,10.5,82.5,39.39,40.76,84.34,76.68,122.98,90.14,114.78,118.85,95.0,207.88,156.87,332.69,1480.36
PRECTOTCORR_SUM,2022,11.0,73.125,4.86,1.69,11.0,81.61,268.09,439.27,461.79,379.06,135.28,94.81,74.06,70.4,2021.92
PRECTOTCORR_SUM,2022,11.0,73.75,5.1,2.37,15.65,121.36,338.61,485.89,547.2,413.09,163.21,92.74,81.0,74.69,2340.91
PRECTOTCORR_SUM,2022,11.0,74.375,6.84,4.41,24.44,173.8,389.58,494.52,604.22,429.79,171.31,103.76,90.86,85.8,2579.33
PRECTOTCORR_SUM,2022,11.0,75.0,11.77,5.69,39.79,214.89,360.73,375.56,580.04,453.12,181.32,114.61,110.27,91.27,2539.06
PRECTOTCORR_SUM,2022,11.0,75.625,14.57,5.04,49.63,198.17,322.16,272.97,541.0,503.25,201.75,128.51,129.33,106.56,2472.94
PRECTOTCORR_SUM,2022,11.0,76.25,21.1,4.16,46.27,138.79,281.49,230.0,456.12,475.65,193.87,150.2,133.57,119.54,2250.76
PRECTOTCORR_SUM,2022,11.0,76.875,23.51,2.71,45.04,112.21,155.85,135.91,256.36,286.25,118.9,153.29,133.26,96.3,1519.59
PRECTOTCORR_SUM,2022,11.0,77.5,17.5,2.42,34.69,89.27,93.44,96.55,131.03,150.08,82.38,161.34,125.88,76.44,1061.02
PRECTOTCORR_SUM,2022,11.0,78.125,19.1,2.91,27.7,75.52,86.15,89.13,104.23,132.27,81.1,155.36,123.83,78.85,976.15
