-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2022,20.5,68.5,4.75,5.93,6.63,7.01,6.9,5.67,4.46,4.26,5.37,5.74,5.14,4.59,5.54
ALLSKY_SFC_SW_DWN,2022,20.5,69.5,4.77,5.97,6.51,7.05,6.87,5.78,4.42,4.51,5.29,5.67,5.15,4.59,5.55
ALLSKY_SFC_SW_DWN,2022,20.5,70.5,4.71,5.86,6.35,6.94,6.77,5.92,4.11,4.65,5.23,5.48,4.95,4.47,5.45
ALLSKY_SFC_SW_DWN,2022,20.5,71.5,4.53,5.71,6.17,6.64,6.66,5.72,3.86,4.75,5.07,5.16,4.85,4.31,5.29
ALLSKY_SFC_SW_DWN,2022,20.5,72.5,4.52,5.72,5.98,6.66,6.64,5.55,3.48,4.71,4.25,5.05,4.81,4.17,5.13
ALLSKY_SFC_SW_DWN,2022,20.5,73.5,4.5,5.76,6.0,6.91,6.84,5.46,3.12,3.94,3.77,4.94,4.91,4.28,5.04
ALLSKY_SFC_SW_DWN,2022,20.5,74.5,4.37,5.53,5.95,6.82,7.01,5.74,3.69,4.17,4.18,4.86,4.85,4.08,5.1
ALLSKY_SFC_SW_DWN,2022,21.5,68.5,4.76,5.92,6.67,7.25,7.0,6.28,4.24,4.57,5.46,5.73,5.06,4.56,5.62
ALLSKY_SFC_SW_DWN,2022,21.5,69.5,4.82,5.95,6.7,7.19,6.93,6.16,4.15,4.56,5.43,5.69,5.02,4.52,5.59
ALLSKY_SFC_SW_DWN,2022,21.5,70.5,4.58,5.74,6.41,7.1,7.05,5.79,3.87,4.46,5.28,5.42,4.85,4.34,5.41
