-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLRSKY_SFC_SW_DWN,2022,20.5,68.5,4.99,6.03,6.67,7.29,7.09,7.01,6.73,6.72,6.58,5.88,5.15,4.71,6.24
CLRSKY_SFC_SW_DWN,2022,20.5,69.5,5.0,6.04,6.59,7.28,7.09,7.0,6.73,6.72,6.56,5.84,5.16,4.7,6.23
CLRSKY_SFC_SW_DWN,2022,20.5,70.5,4.89,5.91,6.49,7.15,7.03,7.04,6.8,6.74,6.46,5.74,4.98,4.58,6.15
CLRSKY_SFC_SW_DWN,2022,20.5,71.5,4.67,5.78,6.33,6.95,6.92,6.96,6.8,6.72,6.43,5.56,4.88,4.44,6.04
CLRSKY_SFC_SW_DWN,2022,20.5,72.5,4.72,5.82,6.26,7.03,7.08,7.04,6.91,6.7,6.05,5.6,4.84,4.34,6.03
CLRSKY_SFC_SW_DWN,2022,20.5,73.5,4.81,5.9,6.4,7.17,7.23,7.17,7.02,6.82,6.15,5.78,4.95,4.47,6.16
CLRSKY_SFC_SW_DWN,2022,20.5,74.5,4.71,5.69,6.35,7.13,7.27,7.16,7.15,6.86,6.04,5.74,4.89,4.32,6.11
CLRSKY_SFC_SW_DWN,2022,21.5,68.5,4.94,5.96,6.71,7.41,7.17,6.95,6.8,6.7,6.45,5.86,5.07,4.65,6.22
CLRSKY_SFC_SW_DWN,2022,21.5,69.5,5.0,6.0,6.78,7.43,7.2,6.97,6.85,6.74,6.46,5.87,5.05,4.62,6.25
CLRSKY_SFC_SW_DWN,2022,21.5,70.5,4.81,5.8,6.5,7.32,7.23,7.0,6.94,6.72,6.32,5.73,4.89,4.43,6.14
CLRSKY_SFC_SW_DWN,2022,21.5,71.5,4.8,5.79,6.5,7.32,7.24,7.01,6.94,6.69,6.28,5.72,4.87,4.42,6.13
CLRSKY_SFC_SW_DWN,2022,21.5,72.5,4.66,5.82,6.38,7.21,7.22,7.02,6.95,6.66,6.09,5.57,4.87,4.31,6.06
CLRSKY_SFC_SW_DWN,2022,21.5,73.5,4.69,5.8,6.42,7.28,7.24,7.08,7.0,6.7,6.13,5.7,4.86,4.32,6.1
CLRSKY_SFC_SW_DWN,2022,21.5,74.5,4.56,5.7,6.36,7.25,7.28,7.06,7.04,6.72,5.88,5.7,4.8,4.19,6.05
