-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLOUD_AMT     CERES SYN1deg Cloud Amount (%) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLOUD_AMT,2022,20.5,68.5,24.43,10.28,6.13,20.51,34.36,72.48,89.6,88.87,53.81,25.08,3.6,18.48,37.3
CLOUD_AMT,2022,20.5,69.5,18.11,8.97,11.1,21.84,34.75,74.21,89.61,87.1,56.46,29.82,3.81,17.26,37.75
CLOUD_AMT,2022,20.5,70.5,22.62,14.37,22.4,30.05,45.18,72.8,88.15,84.64,57.77,40.63,18.5,24.57,43.47
CLOUD_AMT,2022,20.5,71.5,13.69,8.03,16.28,22.58,29.3,65.11,85.85,78.87,57.38,25.82,5.58,13.73,35.19
CLOUD_AMT,2022,20.5,72.5,22.76,12.47,27.02,36.17,47.86,78.0,93.45,87.65,77.91,38.37,10.33,20.78,46.06
CLOUD_AMT,2022,20.5,73.5,22.77,17.93,27.81,19.83,31.4,76.26,95.63,87.75,83.37,45.42,9.33,19.68,44.77
CLOUD_AMT,2022,20.5,74.5,26.47,20.49,26.85,20.88,26.9,74.12,95.42,84.93,79.67,46.81,8.87,21.56,44.41
CLOUD_AMT,2022,21.5,68.5,20.04,5.24,4.95,19.39,30.4,65.74,90.26,87.95,52.06,20.61,4.14,17.9,34.89
CLOUD_AMT,2022,21.5,69.5,20.78,11.35,10.85,17.77,26.35,56.82,85.22,80.77,45.31,18.98,7.11,17.17,33.21
CLOUD_AMT,2022,21.5,70.5,19.1,14.85,14.62,16.12,14.94,63.69,87.19,78.2,46.97,21.67,4.17,15.01,33.04
CLOUD_AMT,2022,21.5,71.5,24.09,23.59,15.12,14.87,16.48,67.67,89.67,78.77,55.79,25.84,7.03,18.19,36.43
CLOUD_AMT,2022,21.5,72.5,20.92,12.51,20.13,19.91,26.15,64.77,90.69,78.21,61.44,24.99,6.44,17.47,36.97
CLOUD_AMT,2022,21.5,73.5,18.99,14.42,20.92,19.27,22.94,70.0,95.99,85.45,71.55,31.87,6.69,18.74,39.74
CLOUD_AMT,2022,21.5,74.5,21.17,14.68,23.44,15.7,21.97,73.05,96.72,84.75,75.8,35.71,9.34,21.05,41.11
