-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2022,20.0,68.125,23.46,23.47,26.02,28.02,29.04,29.26,28.01,27.15,27.53,28.48,27.63,25.78,26.99
T2M,2022,20.0,68.75,23.5,23.66,26.09,27.98,29.03,29.18,28.06,27.28,27.59,28.55,27.71,25.73,27.03
T2M,2022,20.0,69.375,23.57,23.73,26.19,27.98,29.02,29.11,28.09,27.36,27.63,28.59,27.71,25.71,27.06
T2M,2022,20.0,70.0,23.48,23.79,26.15,28.0,29.01,29.08,28.16,27.42,27.71,28.57,27.58,25.66,27.05
T2M,2022,20.0,70.625,23.48,23.89,26.23,28.03,28.91,29.02,28.2,27.46,27.78,28.54,27.23,25.68,27.04
T2M,2022,20.0,71.25,23.22,23.69,26.21,28.06,28.74,28.93,28.22,27.54,27.88,28.43,26.83,25.46,26.93
T2M,2022,20.0,71.875,23.05,23.48,26.25,28.08,28.76,28.91,28.25,27.69,28.03,28.25,26.38,25.2,26.86
T2M,2022,20.0,72.5,22.63,23.34,26.8,28.88,29.39,29.2,28.1,27.66,27.97,27.63,25.24,24.83,26.81
T2M,2022,20.0,73.125,21.22,24.14,29.99,31.68,30.92,28.73,25.92,25.67,25.79,24.63,22.82,24.4,26.33
T2M,2022,20.0,73.75,18.47,22.08,28.26,30.55,29.27,26.88,23.83,23.58,23.78,22.13,19.53,20.97,24.11
T2M,2022,20.0,74.375,19.22,22.79,28.9,31.99,31.16,28.37,24.57,24.26,24.32,22.39,19.4,20.63,24.83
T2M,2022,20.0,75.0,19.72,23.28,29.14,32.57,32.57,29.25,25.27,24.96,24.85,22.76,19.66,20.97,25.42
T2M,2022,20.5,68.125,23.06,23.31,25.95,27.91,28.91,29.27,28.12,27.24,27.62,28.5,27.58,25.62,26.92
T2M,2022,20.5,68.75,23.15,23.39,26.0,27.94,28.92,29.22,28.19,27.42,27.69,28.55,27.59,25.55,26.97
T2M,2022,20.5,69.375,23.21,23.45,26.0,27.93,28.92,29.15,28.22,27.51,27.76,28.59,27.45,25.44,26.97
T2M,2022,20.5,70.0,23.09,23.42,26.03,27.95,28.85,29.11,28.25,27.54,27.8,28.51,27.24,25.35,26.93
T2M,2022,20.5,70.625,22.68,23.41,26.86,28.69,29.03,29.18,28.16,27.46,27.79,28.23,26.63,25.17,26.94
T2M,2022,20.5,71.25,22.16,22.98,26.95,28.97,29.05,29.13,28.13,27.52,28.0,28.26,26.48,24.9,26.88
T2M,2022,20.5,71.875,22.14,22.68,26.31,28.43,28.92,28.99,28.24,27.74,28.2,28.39,26.66,24.84,26.79
T2M,2022,20.5,72.5,22.24,22.87,26.32,28.48,29.11,29.12,28.21,27.78,28.17,27.91,25.71,24.62,26.71
T2M,2022,20.5,73.125,21.07,24.02,29.84,31.77,31.25,29.28,26.31,26.06,26.22,24.94,23.22,24.48,26.54
T2M,2022,20.5,73.75,18.73,22.47,28.41,30.67,29.79,27.53,24.24,24.03,24.23,22.6,20.27,21.56,24.54
T2M,2022,20.5,74.375,19.02,22.7,28.78,31.88,31.17,28.68,24.71,24.44,24.55,22.6,19.67,20.71,24.91
T2M,2022,20.5,75.0,19.98,23.47,29.51,33.07,33.17,30.2,25.81,25.42,25.41,23.24,20.18,21.29,25.9
T2M,2022,21.0,68.125,22.8,23.22,25.87,27.84,28.81,29.28,28.33,27.35,27.71,28.49,27.46,25.41,26.88
T2M,2022,21.0,68.75,22.81,23.21,25.84,27.92,28.8,29.26,28.38,27.47,27.8,28.54,27.4,25.31,26.89
