-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2MDEW,2022,20.0,68.125,17.11,17.92,21.66,24.26,25.96,25.88,24.87,24.51,23.82,22.69,20.42,18.8,22.32
T2MDEW,2022,20.0,68.75,16.91,17.97,21.81,24.27,25.92,25.9,24.91,24.58,24.07,22.73,20.25,18.84,22.35
T2MDEW,2022,20.0,69.375,16.66,18.04,21.98,24.35,25.88,25.93,24.97,24.64,24.28,22.76,20.01,18.88,22.36
T2MDEW,2022,20.0,70.0,16.33,17.83,21.89,24.31,25.82,25.98,25.04,24.71,24.42,22.78,19.94,18.89,22.33
T2MDEW,2022,20.0,70.625,16.33,17.58,21.43,24.28,25.75,26.02,25.1,24.75,24.57,22.77,20.31,18.98,22.32
T2MDEW,2022,20.0,71.25,16.67,17.59,21.25,24.26,25.69,25.98,25.16,24.81,24.72,22.88,20.82,19.55,22.45
T2MDEW,2022,20.0,71.875,16.79,17.67,21.1,24.17,25.71,26.01,25.23,24.87,24.87,22.94,20.91,20.04,22.53
T2MDEW,2022,20.0,72.5,16.16,17.2,20.11,23.76,25.39,25.82,25.26,24.84,24.94,22.72,19.89,19.12,22.1
T2MDEW,2022,20.0,73.125,10.41,8.42,8.51,15.16,21.26,23.54,24.47,24.01,24.17,20.99,15.26,13.03,17.44
T2MDEW,2022,20.0,73.75,9.68,4.92,5.11,8.55,17.66,20.98,22.52,22.08,22.3,19.08,14.03,13.06,15.0
T2MDEW,2022,20.0,74.375,8.58,3.28,4.21,6.2,15.49,19.83,22.1,21.87,22.22,19.0,14.03,13.53,14.2
T2MDEW,2022,20.0,75.0,8.41,2.9,4.22,5.52,14.3,19.54,22.04,21.91,22.32,19.18,14.19,13.64,14.01
T2MDEW,2022,20.5,68.125,16.49,17.77,21.55,24.27,26.04,25.93,25.06,24.6,23.89,22.59,20.27,18.18,22.22
T2MDEW,2022,20.5,68.75,16.24,17.79,21.69,24.28,25.98,25.97,25.1,24.65,24.1,22.66,20.06,18.18,22.22
T2MDEW,2022,20.5,69.375,15.86,17.88,21.7,24.26,25.89,26.01,25.14,24.71,24.27,22.65,19.68,18.12,22.18
T2MDEW,2022,20.5,70.0,15.2,17.58,21.07,24.07,25.76,26.01,25.18,24.75,24.41,22.53,19.2,17.67,21.95
T2MDEW,2022,20.5,70.625,14.59,16.65,19.06,22.88,25.23,25.73,25.16,24.76,24.48,22.26,19.09,17.03,21.41
T2MDEW,2022,20.5,71.25,14.98,16.58,18.5,22.44,25.14,25.71,25.25,24.84,24.63,22.39,19.61,17.8,21.49
