-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2022,20.0,68.125,13.53,0.1,0.08,1.84,2.31,105.73,206.9,205.41,99.13,19.12,0.01,2.42,656.58
PRECTOTCORR_SUM,2022,20.0,68.75,12.69,0.21,0.1,1.95,2.35,98.52,190.59,172.99,106.25,18.26,0.0,1.98,605.89
PRECTOTCORR_SUM,2022,20.0,69.375,13.39,0.17,0.12,1.41,2.81,120.86,252.71,236.8,93.55,23.53,0.01,2.39,747.75
PRECTOTCORR_SUM,2022,20.0,70.0,9.69,0.15,0.08,1.36,3.34,123.06,260.85,236.67,117.8,21.06,0.07,2.12,776.25
PRECTOTCORR_SUM,2022,20.0,70.625,6.26,0.12,0.05,1.32,3.57,118.74,253.76,221.26,164.77,23.18,0.07,1.63,794.73
PRECTOTCORR_SUM,2022,20.0,71.25,4.7,0.12,0.1,1.55,3.75,118.77,268.79,167.22,213.47,40.92,0.05,1.69,821.13
PRECTOTCORR_SUM,2022,20.0,71.875,3.27,0.19,2.05,2.29,4.62,128.61,378.41,142.33,249.76,69.74,0.16,2.4,983.83
PRECTOTCORR_SUM,2022,20.0,72.5,2.12,0.46,8.08,2.94,11.66,215.54,928.5,388.05,420.91,98.48,0.62,6.02,2083.38
PRECTOTCORR_SUM,2022,20.0,73.125,1.65,0.1,3.15,0.67,20.26,275.29,1209.96,538.7,527.85,146.03,0.08,3.96,2727.7
PRECTOTCORR_SUM,2022,20.0,73.75,1.3,0.0,4.31,0.07,11.28,207.9,992.4,502.84,452.42,148.68,0.0,9.39,2330.59
PRECTOTCORR_SUM,2022,20.0,74.375,1.15,0.0,4.73,0.14,2.13,104.52,392.49,242.77,237.19,133.58,0.0,14.67,1133.37
PRECTOTCORR_SUM,2022,20.0,75.0,1.02,0.0,4.77,0.19,1.34,115.44,223.7,159.87,197.1,129.96,0.0,17.77,851.16
PRECTOTCORR_SUM,2022,20.5,68.125,18.77,0.02,0.0,0.12,0.15,82.05,281.18,199.06,106.74,20.84,0.01,0.18,709.12
PRECTOTCORR_SUM,2022,20.5,68.75,18.63,0.0,0.0,0.02,0.0,71.45,279.52,158.84,105.35,23.42,0.0,0.0,657.23
PRECTOTCORR_SUM,2022,20.5,69.375,20.43,0.01,0.0,0.11,0.2,90.55,348.04,243.47,126.71,26.04,0.01,0.16,855.73
